#    L    TT             EE             TE             PP             TP          
   303   0.386373E+04   0.938081E+01   0.117488E+03   0.145941E+07   0.101855E+04
   304   0.383044E+04   0.955796E+01   0.117700E+03   0.145351E+07   0.100936E+04
   305   0.379715E+04   0.973510E+01   0.117883E+03   0.144764E+07   0.100023E+04
   306   0.376379E+04   0.991298E+01   0.118029E+03   0.144181E+07   0.991160E+03
   307   0.373043E+04   0.100916E+02   0.118132E+03   0.143601E+07   0.982153E+03
   308   0.369708E+04   0.102724E+02   0.118212E+03   0.143025E+07   0.973208E+03
   309   0.366379E+04   0.104525E+02   0.118242E+03   0.142452E+07   0.964325E+03
   310   0.363043E+04   0.106325E+02   0.118242E+03   0.141882E+07   0.955505E+03
   311   0.359715E+04   0.108148E+02   0.118198E+03   0.141316E+07   0.946746E+03
   312   0.356394E+04   0.109964E+02   0.118125E+03   0.140753E+07   0.938051E+03
   313   0.353072E+04   0.111786E+02   0.118008E+03   0.140193E+07   0.929418E+03
   314   0.349759E+04   0.113617E+02   0.117862E+03   0.139637E+07   0.920847E+03
   315   0.346452E+04   0.115439E+02   0.117672E+03   0.139084E+07   0.912339E+03
   316   0.343153E+04   0.117270E+02   0.117445E+03   0.138534E+07   0.903893E+03
   317   0.339861E+04   0.119093E+02   0.117181E+03   0.137987E+07   0.895511E+03
   318   0.336576E+04   0.120930E+02   0.116881E+03   0.137444E+07   0.887191E+03
   319   0.333306E+04   0.122761E+02   0.116544E+03   0.136904E+07   0.878934E+03
   320   0.330051E+04   0.124591E+02   0.116178E+03   0.136366E+07   0.870739E+03
   321   0.326803E+04   0.126430E+02   0.115768E+03   0.135832E+07   0.862608E+03
