#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.145967E+04   0.144126E+00   0.000000E+00  -0.409850E+00   0.124695E-06   0.783888E-03  -0.727051E-06
    55   0.148011E+04   0.152835E+00   0.000000E+00  -0.647247E+00   0.124081E-06   0.768590E-03  -0.710291E-06
    56   0.150089E+04   0.161787E+00   0.000000E+00  -0.897077E+00   0.123457E-06   0.754209E-03  -0.685182E-06
    57   0.152196E+04   0.170877E+00   0.000000E+00  -0.115917E+01   0.122823E-06   0.740636E-03  -0.654076E-06
    58   0.154333E+04   0.180116E+00   0.000000E+00  -0.143409E+01   0.122181E-06   0.727711E-03  -0.618634E-06
    59   0.156485E+04   0.189546E+00   0.000000E+00  -0.172242E+01   0.121530E-06   0.715274E-03  -0.580512E-06
    60   0.158654E+04   0.199224E+00   0.000000E+00  -0.202333E+01   0.120872E-06   0.703165E-03  -0.541360E-06
    61   0.160869E+04   0.209244E+00   0.000000E+00  -0.233585E+01   0.120206E-06   0.691248E-03  -0.502889E-06
    62   0.163073E+04   0.219592E+00   0.000000E+00  -0.266097E+01   0.119534E-06   0.679477E-03  -0.467040E-06
    63   0.165286E+04   0.230227E+00   0.000000E+00  -0.299976E+01   0.118857E-06   0.667829E-03  -0.435811E-06
    64   0.167540E+04   0.241156E+00   0.000000E+00  -0.335353E+01   0.118176E-06   0.656283E-03  -0.411197E-06
    65   0.169798E+04   0.252354E+00   0.000000E+00  -0.372300E+01   0.117491E-06   0.644815E-03  -0.395192E-06
    66   0.172088E+04   0.263750E+00   0.000000E+00  -0.410637E+01   0.116803E-06   0.633425E-03  -0.389661E-06
    67   0.174394E+04   0.275346E+00   0.000000E+00  -0.450079E+01   0.116114E-06   0.622194E-03  -0.395976E-06
    68   0.176743E+04   0.287185E+00   0.000000E+00  -0.490446E+01   0.115422E-06   0.611226E-03  -0.415385E-06
    69   0.179111E+04   0.299225E+00   0.000000E+00  -0.531552E+01   0.114730E-06   0.600624E-03  -0.449133E-06
    70   0.181508E+04   0.311508E+00   0.000000E+00  -0.573552E+01   0.114037E-06   0.590490E-03  -0.498464E-06
    71   0.183920E+04   0.324024E+00   0.000000E+00  -0.616676E+01   0.113343E-06   0.580897E-03  -0.562531E-06
    72   0.186349E+04   0.336747E+00   0.000000E+00  -0.661066E+01   0.112649E-06   0.571797E-03  -0.632122E-06
    73   0.188793E+04   0.349642E+00   0.000000E+00  -0.706793E+01   0.111955E-06   0.563111E-03  -0.695944E-06
    74   0.191257E+04   0.362697E+00   0.000000E+00  -0.753778E+01   0.111261E-06   0.554761E-03  -0.742718E-06
    75   0.193752E+04   0.375924E+00   0.000000E+00  -0.801882E+01   0.110566E-06   0.546670E-03  -0.761176E-06
    76   0.196275E+04   0.389323E+00   0.000000E+00  -0.851050E+01   0.109871E-06   0.538765E-03  -0.744043E-06
    77   0.198830E+04   0.402886E+00   0.000000E+00  -0.901264E+01   0.109176E-06   0.531006E-03  -0.699979E-06
    78   0.201422E+04   0.416638E+00   0.000000E+00  -0.952662E+01   0.108482E-06   0.523359E-03  -0.641611E-06
    79   0.204031E+04   0.430525E+00   0.000000E+00  -0.100486E+02   0.107788E-06   0.515788E-03  -0.581556E-06
    80   0.206668E+04   0.444550E+00   0.000000E+00  -0.105801E+02   0.107096E-06   0.508259E-03  -0.532417E-06
    81   0.209323E+04   0.458663E+00   0.000000E+00  -0.111214E+02   0.106405E-06   0.500752E-03  -0.504330E-06
    82   0.212002E+04   0.472886E+00   0.000000E+00  -0.116716E+02   0.105717E-06   0.493296E-03  -0.497602E-06
    83   0.214700E+04   0.487193E+00   0.000000E+00  -0.122302E+02   0.105030E-06   0.485935E-03  -0.510084E-06
    84   0.217425E+04   0.501582E+00   0.000000E+00  -0.127953E+02   0.104346E-06   0.478713E-03  -0.539629E-06
    85   0.220161E+04   0.516028E+00   0.000000E+00  -0.133679E+02   0.103665E-06   0.471674E-03  -0.584096E-06
    86   0.222917E+04   0.530542E+00   0.000000E+00  -0.139469E+02   0.102986E-06   0.464849E-03  -0.640831E-06
    87   0.225716E+04   0.545095E+00   0.000000E+00  -0.145316E+02   0.102310E-06   0.458236E-03  -0.705147E-06
    88   0.228512E+04   0.559701E+00   0.000000E+00  -0.151220E+02   0.101638E-06   0.451817E-03  -0.771847E-06
    89   0.231344E+04   0.574347E+00   0.000000E+00  -0.157199E+02   0.100969E-06   0.445577E-03  -0.835742E-06
    90   0.234197E+04   0.588994E+00   0.000000E+00  -0.163223E+02   0.100303E-06   0.439500E-03  -0.891644E-06
    91   0.237062E+04   0.603635E+00   0.000000E+00  -0.169300E+02   0.996403E-07   0.433574E-03  -0.935395E-06
    92   0.239956E+04   0.618257E+00   0.000000E+00  -0.175424E+02   0.989815E-07   0.427792E-03  -0.966946E-06
    93   0.242879E+04   0.632853E+00   0.000000E+00  -0.181595E+02   0.983262E-07   0.422148E-03  -0.987272E-06
    94   0.245807E+04   0.647386E+00   0.000000E+00  -0.187798E+02   0.976745E-07   0.416639E-03  -0.997348E-06
    95   0.248764E+04   0.661857E+00   0.000000E+00  -0.194042E+02   0.970265E-07   0.411259E-03  -0.998148E-06
    96   0.251720E+04   0.676251E+00   0.000000E+00  -0.200319E+02   0.963822E-07   0.406004E-03  -0.990643E-06
    97   0.254719E+04   0.690556E+00   0.000000E+00  -0.206622E+02   0.957417E-07   0.400868E-03  -0.975807E-06
    98   0.257739E+04   0.704763E+00   0.000000E+00  -0.212929E+02   0.951049E-07   0.395848E-03  -0.954610E-06
    99   0.260766E+04   0.718837E+00   0.000000E+00  -0.219270E+02   0.944720E-07   0.390938E-03  -0.928024E-06
   100   0.263822E+04   0.732779E+00   0.000000E+00  -0.225601E+02   0.938429E-07   0.386135E-03  -0.897017E-06
   101   0.266892E+04   0.746647E+00   0.000000E+00  -0.231952E+02   0.932178E-07   0.381432E-03  -0.862560E-06
   102   0.270013E+04   0.760296E+00   0.000000E+00  -0.238301E+02   0.925966E-07   0.376826E-03  -0.825620E-06
   103   0.273127E+04   0.773799E+00   0.000000E+00  -0.244656E+02   0.919795E-07   0.372312E-03  -0.787166E-06
   104   0.276262E+04   0.787158E+00   0.000000E+00  -0.250987E+02   0.913665E-07   0.367885E-03  -0.748165E-06
   105   0.279411E+04   0.800299E+00   0.000000E+00  -0.257310E+02   0.907575E-07   0.363540E-03  -0.709584E-06
   106   0.282582E+04   0.813297E+00   0.000000E+00  -0.263617E+02   0.901527E-07   0.359274E-03  -0.672389E-06
