#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   396   0.168586E+04   0.750618E+01   0.239844E-04   0.750618E+01   0.212002E+02   0.122031E-05   0.239844E-04   0.122031E-05   0.221511E-07
   397   0.167983E+04   0.561525E+01   0.236924E-04   0.561525E+01   0.211951E+02   0.122462E-05   0.236924E-04   0.122462E-05   0.220728E-07
   398   0.167431E+04   0.373111E+01   0.233998E-04   0.373111E+01   0.211856E+02   0.122933E-05   0.233998E-04   0.122933E-05   0.219949E-07
   399   0.166916E+04   0.185463E+01   0.231064E-04   0.185463E+01   0.211724E+02   0.123447E-05   0.231064E-04   0.123447E-05   0.219173E-07
   400   0.166438E+04  -0.133338E-01   0.228123E-04  -0.133338E-01   0.211556E+02   0.124004E-05   0.228123E-04   0.124004E-05   0.218401E-07
   401   0.166004E+04  -0.187218E+01   0.225173E-04  -0.187218E+01   0.211345E+02   0.124605E-05   0.225173E-04   0.124605E-05   0.217632E-07
   402   0.165615E+04  -0.372101E+01   0.222215E-04  -0.372101E+01   0.211090E+02   0.125249E-05   0.222215E-04   0.125249E-05   0.216867E-07
   403   0.165263E+04  -0.555922E+01   0.219251E-04  -0.555922E+01   0.210805E+02   0.125933E-05   0.219251E-04   0.125933E-05   0.216105E-07
   404   0.164948E+04  -0.738526E+01   0.216280E-04  -0.738526E+01   0.210477E+02   0.126655E-05   0.216280E-04   0.126655E-05   0.215347E-07
   405   0.164678E+04  -0.919996E+01   0.213305E-04  -0.919996E+01   0.210105E+02   0.127412E-05   0.213305E-04   0.127412E-05   0.214592E-07
   406   0.164437E+04  -0.110011E+02   0.210327E-04  -0.110011E+02   0.209705E+02   0.128201E-05   0.210327E-04   0.128201E-05   0.213841E-07
   407   0.164240E+04  -0.127901E+02   0.207345E-04  -0.127901E+02   0.209260E+02   0.129020E-05   0.207345E-04   0.129020E-05   0.213093E-07
   408   0.164081E+04  -0.145626E+02   0.204363E-04  -0.145626E+02   0.208779E+02   0.129867E-05   0.204363E-04   0.129867E-05   0.212349E-07
   409   0.163966E+04  -0.163208E+02   0.201380E-04  -0.163208E+02   0.208268E+02   0.130739E-05   0.201380E-04   0.130739E-05   0.211607E-07
   410   0.163881E+04  -0.180640E+02   0.198397E-04  -0.180640E+02   0.207707E+02   0.131634E-05   0.198397E-04   0.131634E-05   0.210870E-07
   411   0.163841E+04  -0.197899E+02   0.195416E-04  -0.197899E+02   0.207116E+02   0.132549E-05   0.195416E-04   0.132549E-05   0.210135E-07
   412   0.163830E+04  -0.214992E+02   0.192438E-04  -0.214992E+02   0.206488E+02   0.133481E-05   0.192438E-04   0.133481E-05   0.209404E-07
   413   0.163856E+04  -0.231906E+02   0.189464E-04  -0.231906E+02   0.205824E+02   0.134428E-05   0.189464E-04   0.134428E-05   0.208677E-07
   414   0.163912E+04  -0.248639E+02   0.186495E-04  -0.248639E+02   0.205124E+02   0.135388E-05   0.186495E-04   0.135388E-05   0.207952E-07
   415   0.164013E+04  -0.265171E+02   0.183532E-04  -0.265171E+02   0.204394E+02   0.136358E-05   0.183532E-04   0.136358E-05   0.207231E-07
   416   0.164143E+04  -0.281515E+02   0.180575E-04  -0.281515E+02   0.203620E+02   0.137336E-05   0.180575E-04   0.137336E-05   0.206513E-07
   417   0.164303E+04  -0.297664E+02   0.177627E-04  -0.297664E+02   0.202816E+02   0.138319E-05   0.177627E-04   0.138319E-05   0.205799E-07
   418   0.164501E+04  -0.313589E+02   0.174688E-04  -0.313589E+02   0.201961E+02   0.139305E-05   0.174688E-04   0.139305E-05   0.205087E-07
   419   0.164735E+04  -0.329296E+02   0.171759E-04  -0.329296E+02   0.201085E+02   0.140290E-05   0.171759E-04   0.140290E-05   0.204379E-07
   420   0.165000E+04  -0.344787E+02   0.168841E-04  -0.344787E+02   0.200178E+02   0.141273E-05   0.168841E-04   0.141273E-05   0.203674E-07
   421   0.165302E+04  -0.360046E+02   0.165936E-04  -0.360046E+02   0.199235E+02   0.142252E-05   0.165936E-04   0.142252E-05   0.202973E-07
   422   0.165633E+04  -0.375081E+02   0.163044E-04  -0.375081E+02   0.198256E+02   0.143223E-05   0.163044E-04   0.143223E-05   0.202274E-07
   423   0.165987E+04  -0.389870E+02   0.160167E-04  -0.389870E+02   0.197239E+02   0.144184E-05   0.160167E-04   0.144184E-05   0.201579E-07
   424   0.166371E+04  -0.404419E+02   0.157305E-04  -0.404419E+02   0.196193E+02   0.145133E-05   0.157305E-04   0.145133E-05   0.200887E-07
   425   0.166793E+04  -0.418707E+02   0.154459E-04  -0.418707E+02   0.195110E+02   0.146067E-05   0.154459E-04   0.146067E-05   0.200198E-07
   426   0.167244E+04  -0.432741E+02   0.151632E-04  -0.432741E+02   0.194004E+02   0.146983E-05   0.151632E-04   0.146983E-05   0.199512E-07
   427   0.167718E+04  -0.446529E+02   0.148823E-04  -0.446529E+02   0.192862E+02   0.147880E-05   0.148823E-04   0.147880E-05   0.198829E-07
   428   0.168221E+04  -0.460033E+02   0.146033E-04  -0.460033E+02   0.191691E+02   0.148754E-05   0.146033E-04   0.148754E-05   0.198150E-07
   429   0.168747E+04  -0.473268E+02   0.143265E-04  -0.473268E+02   0.190489E+02   0.149604E-05   0.143265E-04   0.149604E-05   0.197473E-07
   430   0.169311E+04  -0.486235E+02   0.140518E-04  -0.486235E+02   0.189266E+02   0.150426E-05   0.140518E-04   0.150426E-05   0.196799E-07
   431   0.169897E+04  -0.498919E+02   0.137795E-04  -0.498919E+02   0.188005E+02   0.151219E-05   0.137795E-04   0.151219E-05   0.196129E-07
   432   0.170498E+04  -0.511327E+02   0.135095E-04  -0.511327E+02   0.186715E+02   0.151979E-05   0.135095E-04   0.151979E-05   0.195461E-07
   433   0.171137E+04  -0.523429E+02   0.132421E-04  -0.523429E+02   0.185410E+02   0.152704E-05   0.132421E-04   0.152704E-05   0.194797E-07
   434   0.171791E+04  -0.535255E+02   0.129772E-04  -0.535255E+02   0.184068E+02   0.153392E-05   0.129772E-04   0.153392E-05   0.194136E-07
   435   0.172467E+04  -0.546784E+02   0.127151E-04  -0.546784E+02   0.182711E+02   0.154040E-05   0.127151E-04   0.154040E-05   0.193477E-07
   436   0.173174E+04  -0.558014E+02   0.124558E-04  -0.558014E+02   0.181324E+02   0.154646E-05   0.124558E-04   0.154646E-05   0.192822E-07
   437   0.173903E+04  -0.568931E+02   0.121995E-04  -0.568931E+02   0.179907E+02   0.155207E-05   0.121995E-04   0.155207E-05   0.192169E-07
   438   0.174647E+04  -0.579535E+02   0.119461E-04  -0.579535E+02   0.178468E+02   0.155721E-05   0.119461E-04   0.155721E-05   0.191519E-07
   439   0.175422E+04  -0.589842E+02   0.116960E-04  -0.589842E+02   0.177014E+02   0.156185E-05   0.116960E-04   0.156185E-05   0.190873E-07
   440   0.176212E+04  -0.599821E+02   0.114490E-04  -0.599821E+02   0.175530E+02   0.156596E-05   0.114490E-04   0.156596E-05   0.190229E-07
   441   0.177024E+04  -0.609494E+02   0.112055E-04  -0.609494E+02   0.174024E+02   0.156953E-05   0.112055E-04   0.156953E-05   0.189588E-07
   442   0.177845E+04  -0.618840E+02   0.109654E-04  -0.618840E+02   0.172495E+02   0.157253E-05   0.109654E-04   0.157253E-05   0.188950E-07
   443   0.178695E+04  -0.627866E+02   0.107288E-04  -0.627866E+02   0.170951E+02   0.157493E-05   0.107288E-04   0.157493E-05   0.188315E-07
   444   0.179561E+04  -0.636557E+02   0.104960E-04  -0.636557E+02   0.169392E+02   0.157670E-05   0.104960E-04   0.157670E-05   0.187683E-07
   445   0.180442E+04  -0.644921E+02   0.102669E-04  -0.644921E+02   0.167795E+02   0.157783E-05   0.102669E-04   0.157783E-05   0.187053E-07
   446   0.181331E+04  -0.652942E+02   0.100417E-04  -0.652942E+02   0.166198E+02   0.157829E-05   0.100417E-04   0.157829E-05   0.186426E-07
   447   0.182243E+04  -0.660644E+02   0.982054E-05  -0.660644E+02   0.164586E+02   0.157804E-05   0.982054E-05   0.157804E-05   0.185802E-07
   448   0.183162E+04  -0.668010E+02   0.960345E-05  -0.668010E+02   0.162944E+02   0.157708E-05   0.960345E-05   0.157708E-05   0.185181E-07
   449   0.184105E+04  -0.675028E+02   0.939057E-05  -0.675028E+02   0.161294E+02   0.157537E-05   0.939057E-05   0.157537E-05   0.184563E-07
   450   0.185063E+04  -0.681717E+02   0.918201E-05  -0.681717E+02   0.159636E+02   0.157288E-05   0.918201E-05   0.157288E-05   0.183947E-07
   451   0.186029E+04  -0.688058E+02   0.897784E-05  -0.688058E+02   0.157955E+02   0.156961E-05   0.897784E-05   0.156961E-05   0.183334E-07
   452   0.187003E+04  -0.694070E+02   0.877803E-05  -0.694070E+02   0.156267E+02   0.156556E-05   0.877803E-05   0.156556E-05   0.182724E-07
   453   0.188000E+04  -0.699733E+02   0.858255E-05  -0.699733E+02   0.154571E+02   0.156074E-05   0.858255E-05   0.156074E-05   0.182117E-07
   454   0.188997E+04  -0.705061E+02   0.839132E-05  -0.705061E+02   0.152859E+02   0.155519E-05   0.839132E-05   0.155519E-05   0.181512E-07
   455   0.190002E+04  -0.710053E+02   0.820430E-05  -0.710053E+02   0.151139E+02   0.154892E-05   0.820430E-05   0.154892E-05   0.180910E-07
   456   0.191030E+04  -0.714643E+02   0.802143E-05  -0.714643E+02   0.149404E+02   0.154195E-05   0.802143E-05   0.154195E-05   0.180310E-07
   457   0.192052E+04  -0.718971E+02   0.784267E-05  -0.718971E+02   0.147668E+02   0.153429E-05   0.784267E-05   0.153429E-05   0.179713E-07
   458   0.193088E+04  -0.722851E+02   0.766795E-05  -0.722851E+02   0.145924E+02   0.152597E-05   0.766795E-05   0.152597E-05   0.179119E-07
   459   0.194133E+04  -0.726439E+02   0.749723E-05  -0.726439E+02   0.144180E+02   0.151701E-05   0.749723E-05   0.151701E-05   0.178528E-07
   460   0.195186E+04  -0.729677E+02   0.733046E-05  -0.729677E+02   0.142420E+02   0.150742E-05   0.733046E-05   0.150742E-05   0.177939E-07
   461   0.196239E+04  -0.732570E+02   0.716757E-05  -0.732570E+02   0.140659E+02   0.149723E-05   0.716757E-05   0.149723E-05   0.177353E-07
   462   0.197300E+04  -0.735059E+02   0.700852E-05  -0.735059E+02   0.138890E+02   0.148645E-05   0.700852E-05   0.148645E-05   0.176769E-07
   463   0.198362E+04  -0.737329E+02   0.685325E-05  -0.737329E+02   0.137128E+02   0.147510E-05   0.685325E-05   0.147510E-05   0.176188E-07
   464   0.199425E+04  -0.739084E+02   0.670172E-05  -0.739084E+02   0.135365E+02   0.146321E-05   0.670172E-05   0.146321E-05   0.175609E-07
   465   0.200488E+04  -0.740621E+02   0.655386E-05  -0.740621E+02   0.133601E+02   0.145079E-05   0.655386E-05   0.145079E-05   0.175033E-07
   466   0.201559E+04  -0.741715E+02   0.640962E-05  -0.741715E+02   0.131829E+02   0.143786E-05   0.640962E-05   0.143786E-05   0.174459E-07
   467   0.202638E+04  -0.742516E+02   0.626896E-05  -0.742516E+02   0.130063E+02   0.142444E-05   0.626896E-05   0.142444E-05   0.173888E-07
   468   0.203710E+04  -0.742949E+02   0.613181E-05  -0.742949E+02   0.128304E+02   0.141054E-05   0.613181E-05   0.141054E-05   0.173320E-07
   469   0.204783E+04  -0.743088E+02   0.599813E-05  -0.743088E+02   0.126536E+02   0.139620E-05   0.599813E-05   0.139620E-05   0.172754E-07
   470   0.205864E+04  -0.742859E+02   0.586786E-05  -0.742859E+02   0.124783E+02   0.138143E-05   0.586786E-05   0.138143E-05   0.172190E-07
   471   0.206923E+04  -0.742261E+02   0.574095E-05  -0.742261E+02   0.123043E+02   0.136624E-05   0.574095E-05   0.136624E-05   0.171629E-07
   472   0.207998E+04  -0.741368E+02   0.561735E-05  -0.741368E+02   0.121302E+02   0.135065E-05   0.561735E-05   0.135065E-05   0.171071E-07
   473   0.209066E+04  -0.740106E+02   0.549700E-05  -0.740106E+02   0.119568E+02   0.133469E-05   0.549700E-05   0.133469E-05   0.170515E-07
   474   0.210134E+04  -0.738550E+02   0.537984E-05  -0.738550E+02   0.117848E+02   0.131838E-05   0.537984E-05   0.131838E-05   0.169961E-07
   475   0.211203E+04  -0.736624E+02   0.526584E-05  -0.736624E+02   0.116126E+02   0.130173E-05   0.526584E-05   0.130173E-05   0.169410E-07
   476   0.212258E+04  -0.734350E+02   0.515493E-05  -0.734350E+02   0.114426E+02   0.128476E-05   0.515493E-05   0.128476E-05   0.168861E-07
   477   0.213306E+04  -0.731826E+02   0.504706E-05  -0.731826E+02   0.112731E+02   0.126750E-05   0.504706E-05   0.126750E-05   0.168314E-07
   478   0.214355E+04  -0.728864E+02   0.494217E-05  -0.728864E+02   0.111043E+02   0.124995E-05   0.494217E-05   0.124995E-05   0.167770E-07
   479   0.215396E+04  -0.725711E+02   0.484022E-05  -0.725711E+02   0.109377E+02   0.123215E-05   0.484022E-05   0.123215E-05   0.167229E-07
   480   0.216431E+04  -0.722172E+02   0.474116E-05  -0.722172E+02   0.107723E+02   0.121411E-05   0.474116E-05   0.121411E-05   0.166689E-07
   481   0.217460E+04  -0.718285E+02   0.464492E-05  -0.718285E+02   0.106084E+02   0.119584E-05   0.464492E-05   0.119584E-05   0.166152E-07
   482   0.218488E+04  -0.714108E+02   0.455145E-05  -0.714108E+02   0.104465E+02   0.117737E-05   0.455145E-05   0.117737E-05   0.165618E-07
   483   0.219496E+04  -0.709664E+02   0.446071E-05  -0.709664E+02   0.102860E+02   0.115872E-05   0.446071E-05   0.115872E-05   0.165085E-07
   484   0.220488E+04  -0.704894E+02   0.437264E-05  -0.704894E+02   0.101276E+02   0.113991E-05   0.437264E-05   0.113991E-05   0.164555E-07
   485   0.221489E+04  -0.699811E+02   0.428718E-05  -0.699811E+02   0.997053E+01   0.112095E-05   0.428718E-05   0.112095E-05   0.164027E-07
   486   0.222476E+04  -0.694438E+02   0.420428E-05  -0.694438E+02   0.981630E+01   0.110187E-05   0.420428E-05   0.110187E-05   0.163502E-07
   487   0.223449E+04  -0.688775E+02   0.412390E-05  -0.688775E+02   0.966415E+01   0.108268E-05   0.412390E-05   0.108268E-05   0.162979E-07
   488   0.224407E+04  -0.682814E+02   0.404597E-05  -0.682814E+02   0.951335E+01   0.106340E-05   0.404597E-05   0.106340E-05   0.162458E-07
   489   0.225358E+04  -0.676569E+02   0.397045E-05  -0.676569E+02   0.936537E+01   0.104406E-05   0.397045E-05   0.104406E-05   0.161939E-07
   490   0.226303E+04  -0.670034E+02   0.389727E-05  -0.670034E+02   0.922021E+01   0.102467E-05   0.389727E-05   0.102467E-05   0.161422E-07
   491   0.227219E+04  -0.663237E+02   0.382639E-05  -0.663237E+02   0.907713E+01   0.100525E-05   0.382639E-05   0.100525E-05   0.160908E-07
   492   0.228135E+04  -0.656171E+02   0.375776E-05  -0.656171E+02   0.893686E+01   0.985819E-06   0.375776E-05   0.985819E-06   0.160396E-07
   493   0.229037E+04  -0.648821E+02   0.369132E-05  -0.648821E+02   0.879792E+01   0.966398E-06   0.369132E-05   0.966398E-06   0.159886E-07
   494   0.229925E+04  -0.641223E+02   0.362702E-05  -0.641223E+02   0.866328E+01   0.947006E-06   0.362702E-05   0.947006E-06   0.159378E-07
   495   0.230791E+04  -0.633364E+02   0.356480E-05  -0.633364E+02   0.853070E+01   0.927662E-06   0.356480E-05   0.927662E-06   0.158873E-07
   496   0.231643E+04  -0.625256E+02   0.350462E-05  -0.625256E+02   0.840167E+01   0.908384E-06   0.350462E-05   0.908384E-06   0.158369E-07
   497   0.232481E+04  -0.616894E+02   0.344641E-05  -0.616894E+02   0.827544E+01   0.889193E-06   0.344641E-05   0.889193E-06   0.157868E-07
   498   0.233305E+04  -0.608305E+02   0.339013E-05  -0.608305E+02   0.815127E+01   0.870107E-06   0.339013E-05   0.870107E-06   0.157369E-07
   499   0.234122E+04  -0.599461E+02   0.333573E-05  -0.599461E+02   0.803138E+01   0.851146E-06   0.333573E-05   0.851146E-06   0.156872E-07
   500   0.234917E+04  -0.590405E+02   0.328314E-05  -0.590405E+02   0.791355E+01   0.832328E-06   0.328314E-05   0.832328E-06   0.156377E-07
   501   0.235683E+04  -0.581123E+02   0.323232E-05  -0.581123E+02   0.779999E+01   0.813670E-06   0.323232E-05   0.813670E-06   0.155884E-07
   502   0.236450E+04  -0.571615E+02   0.318326E-05  -0.571615E+02   0.768996E+01   0.795172E-06   0.318326E-05   0.795172E-06   0.155393E-07
   503   0.237188E+04  -0.561901E+02   0.313593E-05  -0.561901E+02   0.758273E+01   0.776830E-06   0.313593E-05   0.776830E-06   0.154904E-07
   504   0.237904E+04  -0.551969E+02   0.309032E-05  -0.551969E+02   0.747904E+01   0.758643E-06   0.309032E-05   0.758643E-06   0.154418E-07
   505   0.238621E+04  -0.541853E+02   0.304641E-05  -0.541853E+02   0.737963E+01   0.740606E-06   0.304641E-05   0.740606E-06   0.153933E-07
   506   0.239301E+04  -0.531533E+02   0.300418E-05  -0.531533E+02   0.728390E+01   0.722716E-06   0.300418E-05   0.722716E-06   0.153451E-07
   507   0.239974E+04  -0.521030E+02   0.296363E-05  -0.521030E+02   0.719157E+01   0.704972E-06   0.296363E-05   0.704972E-06   0.152970E-07
   508   0.240619E+04  -0.510336E+02   0.292473E-05  -0.510336E+02   0.710368E+01   0.687368E-06   0.292473E-05   0.687368E-06   0.152492E-07
   509   0.241248E+04  -0.499480E+02   0.288746E-05  -0.499480E+02   0.701925E+01   0.669903E-06   0.288746E-05   0.669903E-06   0.152015E-07
   510   0.241849E+04  -0.488457E+02   0.285181E-05  -0.488457E+02   0.693896E+01   0.652574E-06   0.285181E-05   0.652574E-06   0.151541E-07
   511   0.242443E+04  -0.477264E+02   0.281777E-05  -0.477264E+02   0.686251E+01   0.635376E-06   0.281777E-05   0.635376E-06   0.151068E-07
   512   0.243008E+04  -0.465917E+02   0.278531E-05  -0.465917E+02   0.679035E+01   0.618308E-06   0.278531E-05   0.618308E-06   0.150598E-07
   513   0.243558E+04  -0.454431E+02   0.275442E-05  -0.454431E+02   0.672225E+01   0.601366E-06   0.275442E-05   0.601366E-06   0.150129E-07
   514   0.244087E+04  -0.442805E+02   0.272509E-05  -0.442805E+02   0.665853E+01   0.584546E-06   0.272509E-05   0.584546E-06   0.149663E-07
   515   0.244594E+04  -0.431039E+02   0.269730E-05  -0.431039E+02   0.659909E+01   0.567847E-06   0.269730E-05   0.567847E-06   0.149198E-07
   516   0.245079E+04  -0.419148E+02   0.267103E-05  -0.419148E+02   0.654402E+01   0.551264E-06   0.267103E-05   0.551264E-06   0.148735E-07
   517   0.245534E+04  -0.407139E+02   0.264626E-05  -0.407139E+02   0.649347E+01   0.534795E-06   0.264626E-05   0.534795E-06   0.148275E-07
   518   0.245976E+04  -0.395020E+02   0.262299E-05  -0.395020E+02   0.644729E+01   0.518436E-06   0.262299E-05   0.518436E-06   0.147816E-07
   519   0.246403E+04  -0.382782E+02   0.260118E-05  -0.382782E+02   0.640570E+01   0.502186E-06   0.260118E-05   0.502186E-06   0.147359E-07
   520   0.246800E+04  -0.370455E+02   0.258083E-05  -0.370455E+02   0.636864E+01   0.486039E-06   0.258083E-05   0.486039E-06   0.146905E-07
   521   0.247168E+04  -0.358039E+02   0.256193E-05  -0.358039E+02   0.633617E+01   0.469994E-06   0.256193E-05   0.469994E-06   0.146452E-07
   522   0.247515E+04  -0.345534E+02   0.254444E-05  -0.345534E+02   0.630851E+01   0.454047E-06   0.254444E-05   0.454047E-06   0.146001E-07
   523   0.247847E+04  -0.332955E+02   0.252837E-05  -0.332955E+02   0.628553E+01   0.438196E-06   0.252837E-05   0.438196E-06   0.145552E-07
   524   0.248157E+04  -0.320308E+02   0.251368E-05  -0.320308E+02   0.626723E+01   0.422436E-06   0.251368E-05   0.422436E-06   0.145104E-07
   525   0.248430E+04  -0.307586E+02   0.250037E-05  -0.307586E+02   0.625374E+01   0.406766E-06   0.250037E-05   0.406766E-06   0.144659E-07
   526   0.248689E+04  -0.294812E+02   0.248842E-05  -0.294812E+02   0.624508E+01   0.391181E-06   0.248842E-05   0.391181E-06   0.144216E-07
   527   0.248941E+04  -0.281992E+02   0.247781E-05  -0.281992E+02   0.624125E+01   0.375680E-06   0.247781E-05   0.375680E-06   0.143774E-07
   528   0.249156E+04  -0.269142E+02   0.246853E-05  -0.269142E+02   0.624224E+01   0.360258E-06   0.246853E-05   0.360258E-06   0.143334E-07
   529   0.249348E+04  -0.256245E+02   0.246056E-05  -0.256245E+02   0.624835E+01   0.344913E-06   0.246056E-05   0.344913E-06   0.142897E-07
   530   0.249512E+04  -0.243340E+02   0.245388E-05  -0.243340E+02   0.625937E+01   0.329642E-06   0.245388E-05   0.329642E-06   0.142461E-07
   531   0.249676E+04  -0.230395E+02   0.244847E-05  -0.230395E+02   0.627522E+01   0.314441E-06   0.244847E-05   0.314441E-06   0.142026E-07
   532   0.249795E+04  -0.217449E+02   0.244433E-05  -0.217449E+02   0.629619E+01   0.299307E-06   0.244433E-05   0.299307E-06   0.141594E-07
   533   0.249893E+04  -0.204501E+02   0.244143E-05  -0.204501E+02   0.632215E+01   0.284238E-06   0.244143E-05   0.284238E-06   0.141164E-07
   534   0.249968E+04  -0.191558E+02   0.243976E-05  -0.191558E+02   0.635316E+01   0.269230E-06   0.243976E-05   0.269230E-06   0.140735E-07
   535   0.250021E+04  -0.178628E+02   0.243930E-05  -0.178628E+02   0.638930E+01   0.254281E-06   0.243930E-05   0.254281E-06   0.140308E-07
   536   0.250053E+04  -0.165709E+02   0.244004E-05  -0.165709E+02   0.643042E+01   0.239386E-06   0.244004E-05   0.239386E-06   0.139883E-07
   537   0.250069E+04  -0.152818E+02   0.244195E-05  -0.152818E+02   0.647660E+01   0.224544E-06   0.244195E-05   0.224544E-06   0.139459E-07
   538   0.250049E+04  -0.139961E+02   0.244503E-05  -0.139961E+02   0.652799E+01   0.209750E-06   0.244503E-05   0.209750E-06   0.139038E-07
   539   0.250014E+04  -0.127145E+02   0.244925E-05  -0.127145E+02   0.658429E+01   0.195003E-06   0.244925E-05   0.195003E-06   0.138618E-07
   540   0.249957E+04  -0.114378E+02   0.245460E-05  -0.114378E+02   0.664595E+01   0.180298E-06   0.245460E-05   0.180298E-06   0.138200E-07
   541   0.249871E+04  -0.101659E+02   0.246107E-05  -0.101659E+02   0.671253E+01   0.165633E-06   0.246107E-05   0.165633E-06   0.137784E-07
   542   0.249769E+04  -0.890113E+01   0.246864E-05  -0.890113E+01   0.678424E+01   0.151004E-06   0.246864E-05   0.151004E-06   0.137369E-07
   543   0.249638E+04  -0.764293E+01   0.247728E-05  -0.764293E+01   0.686117E+01   0.136409E-06   0.247728E-05   0.136409E-06   0.136957E-07
   544   0.249493E+04  -0.639227E+01   0.248699E-05  -0.639227E+01   0.694316E+01   0.121845E-06   0.248699E-05   0.121845E-06   0.136546E-07
   545   0.249318E+04  -0.514972E+01   0.249775E-05  -0.514972E+01   0.703022E+01   0.107308E-06   0.249775E-05   0.107308E-06   0.136136E-07
   546   0.249128E+04  -0.391631E+01   0.250954E-05  -0.391631E+01   0.712212E+01   0.927951E-07   0.250954E-05   0.927951E-07   0.135729E-07
   547   0.248908E+04  -0.269233E+01   0.252234E-05  -0.269233E+01   0.721910E+01   0.783035E-07   0.252234E-05   0.783035E-07   0.135323E-07
   548   0.248674E+04  -0.147878E+01   0.253615E-05  -0.147878E+01   0.732114E+01   0.638301E-07   0.253615E-05   0.638301E-07   0.134919E-07
   549   0.248417E+04  -0.276349E+00   0.255093E-05  -0.276349E+00   0.742826E+01   0.493717E-07   0.255093E-05   0.493717E-07   0.134516E-07
   550   0.248138E+04   0.914400E+00   0.256669E-05   0.914400E+00   0.754045E+01   0.349253E-07   0.256669E-05   0.349253E-07   0.134115E-07
   551   0.247845E+04   0.209287E+01   0.258339E-05   0.209287E+01   0.765771E+01   0.204886E-07   0.258339E-05   0.204886E-07   0.133716E-07
   552   0.247521E+04   0.325798E+01   0.260104E-05   0.325798E+01   0.778005E+01   0.606285E-08   0.260104E-05   0.606285E-08   0.133319E-07
   553   0.247183E+04   0.440949E+01   0.261961E-05   0.440949E+01   0.790598E+01  -0.834981E-08   0.261961E-05  -0.834981E-08   0.132923E-07
   554   0.246823E+04   0.554658E+01   0.263910E-05   0.554658E+01   0.803849E+01  -0.227473E-07   0.263910E-05  -0.227473E-07   0.132528E-07
   555   0.246440E+04   0.666842E+01   0.265949E-05   0.666842E+01   0.817535E+01  -0.371276E-07   0.265949E-05  -0.371276E-07   0.132136E-07
   556   0.246035E+04   0.777485E+01   0.268078E-05   0.777485E+01   0.831730E+01  -0.514886E-07   0.268078E-05  -0.514886E-07   0.131745E-07
   557   0.245615E+04   0.886409E+01   0.270295E-05   0.886409E+01   0.846361E+01  -0.658282E-07   0.270295E-05  -0.658282E-07   0.131356E-07
   558   0.245172E+04   0.993671E+01   0.272600E-05   0.993671E+01   0.861577E+01  -0.801443E-07   0.272600E-05  -0.801443E-07   0.130968E-07
   559   0.244708E+04   0.109920E+02   0.274991E-05   0.109920E+02   0.877155E+01  -0.944348E-07   0.274991E-05  -0.944348E-07   0.130582E-07
   560   0.244235E+04   0.120284E+02   0.277467E-05   0.120284E+02   0.893171E+01  -0.108698E-06   0.277467E-05  -0.108698E-06   0.130198E-07
   561   0.243726E+04   0.130459E+02   0.280026E-05   0.130459E+02   0.909698E+01  -0.122931E-06   0.280026E-05  -0.122931E-06   0.129815E-07
   562   0.243216E+04   0.140438E+02   0.282669E-05   0.140438E+02   0.926737E+01  -0.137132E-06   0.282669E-05  -0.137132E-06   0.129433E-07
   563   0.242684E+04   0.150236E+02   0.285393E-05   0.150236E+02   0.944141E+01  -0.151299E-06   0.285393E-05  -0.151299E-06   0.129054E-07
   564   0.242137E+04   0.159800E+02   0.288198E-05   0.159800E+02   0.962131E+01  -0.165431E-06   0.288198E-05  -0.165431E-06   0.128676E-07
   565   0.241567E+04   0.169168E+02   0.291083E-05   0.169168E+02   0.980413E+01  -0.179524E-06   0.291083E-05  -0.179524E-06   0.128299E-07
   566   0.240982E+04   0.178309E+02   0.294045E-05   0.178309E+02   0.999209E+01  -0.193577E-06   0.294045E-05  -0.193577E-06   0.127924E-07
   567   0.240383E+04   0.187232E+02   0.297085E-05   0.187232E+02   0.101837E+02  -0.207588E-06   0.297085E-05  -0.207588E-06   0.127551E-07
   568   0.239768E+04   0.195920E+02   0.300202E-05   0.195920E+02   0.103805E+02  -0.221554E-06   0.300202E-05  -0.221554E-06   0.127179E-07
   569   0.239130E+04   0.204397E+02   0.303393E-05   0.204397E+02   0.105816E+02  -0.235474E-06   0.303393E-05  -0.235474E-06   0.126809E-07
   570   0.238485E+04   0.212610E+02   0.306658E-05   0.212610E+02   0.107865E+02  -0.249345E-06   0.306658E-05  -0.249345E-06   0.126440E-07
   571   0.237818E+04   0.220582E+02   0.309997E-05   0.220582E+02   0.109958E+02  -0.263166E-06   0.309997E-05  -0.263166E-06   0.126073E-07
   572   0.237135E+04   0.228312E+02   0.313407E-05   0.228312E+02   0.112087E+02  -0.276934E-06   0.313407E-05  -0.276934E-06   0.125707E-07
   573   0.236444E+04   0.235778E+02   0.316887E-05   0.235778E+02   0.114253E+02  -0.290647E-06   0.316887E-05  -0.290647E-06   0.125343E-07
   574   0.235739E+04   0.242994E+02   0.320437E-05   0.242994E+02   0.116464E+02  -0.304304E-06   0.320437E-05  -0.304304E-06   0.124980E-07
   575   0.235018E+04   0.249939E+02   0.324056E-05   0.249939E+02   0.118704E+02  -0.317901E-06   0.324056E-05  -0.317901E-06   0.124619E-07
   576   0.234289E+04   0.256628E+02   0.327742E-05   0.256628E+02   0.120989E+02  -0.331438E-06   0.327742E-05  -0.331438E-06   0.124259E-07
