#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.124509E+04   0.137222E+01   0.987133E-03   0.137222E+01   0.695091E-01  -0.139789E-06   0.987133E-03  -0.139789E-06   0.130483E-06
    44   0.126344E+04   0.127324E+01   0.965640E-03   0.127324E+01   0.750160E-01  -0.963705E-07   0.965640E-03  -0.963705E-07   0.130056E-06
    45   0.128215E+04   0.116003E+01   0.944938E-03   0.116003E+01   0.807707E-01  -0.978267E-07   0.944938E-03  -0.978267E-07   0.129603E-06
    46   0.130115E+04   0.102945E+01   0.925076E-03   0.102945E+01   0.867699E-01  -0.154524E-06   0.925076E-03  -0.154524E-06   0.129128E-06
    47   0.132030E+04   0.883297E+00   0.905950E-03   0.883297E+00   0.930162E-01  -0.252816E-06   0.905950E-03  -0.252816E-06   0.128632E-06
    48   0.133952E+04   0.727248E+00   0.887417E-03   0.727248E+00   0.995206E-01  -0.373050E-06   0.887417E-03  -0.373050E-06   0.128116E-06
    49   0.135891E+04   0.566375E+00   0.869333E-03   0.566375E+00   0.106272E+00  -0.495575E-06   0.869333E-03  -0.495575E-06   0.127583E-06
    50   0.137870E+04   0.398974E+00   0.851555E-03   0.398974E+00   0.113252E+00  -0.600742E-06   0.851555E-03  -0.600742E-06   0.127033E-06
    51   0.139866E+04   0.221511E+00   0.833990E-03   0.221511E+00   0.120436E+00  -0.673152E-06   0.833990E-03  -0.673152E-06   0.126468E-06
    52   0.141902E+04   0.287572E-01   0.816751E-03   0.287572E-01   0.127906E+00  -0.714433E-06   0.816751E-03  -0.714433E-06   0.125889E-06
    53   0.143938E+04  -0.183085E+00   0.799996E-03  -0.183085E+00   0.135807E+00  -0.730462E-06   0.799996E-03  -0.730462E-06   0.125298E-06
    54   0.145967E+04  -0.409847E+00   0.783889E-03  -0.409847E+00   0.144126E+00  -0.727122E-06   0.783889E-03  -0.727122E-06   0.124695E-06
    55   0.148011E+04  -0.647244E+00   0.768591E-03  -0.647244E+00   0.152835E+00  -0.710291E-06   0.768591E-03  -0.710291E-06   0.124081E-06
    56   0.150089E+04  -0.897074E+00   0.754208E-03  -0.897074E+00   0.161787E+00  -0.685145E-06   0.754208E-03  -0.685145E-06   0.123457E-06
    57   0.152196E+04  -0.115917E+01   0.740634E-03  -0.115917E+01   0.170877E+00  -0.654033E-06   0.740634E-03  -0.654033E-06   0.122823E-06
    58   0.154333E+04  -0.143408E+01   0.727710E-03  -0.143408E+01   0.180116E+00  -0.618602E-06   0.727710E-03  -0.618602E-06   0.122181E-06
    59   0.156485E+04  -0.172242E+01   0.715273E-03  -0.172242E+01   0.189546E+00  -0.580496E-06   0.715273E-03  -0.580496E-06   0.121530E-06
    60   0.158654E+04  -0.202333E+01   0.703166E-03  -0.202333E+01   0.199224E+00  -0.541361E-06   0.703166E-03  -0.541361E-06   0.120872E-06
    61   0.160869E+04  -0.233585E+01   0.691249E-03  -0.233585E+01   0.209244E+00  -0.502899E-06   0.691249E-03  -0.502899E-06   0.120206E-06
    62   0.163073E+04  -0.266096E+01   0.679478E-03  -0.266096E+01   0.219592E+00  -0.467053E-06   0.679478E-03  -0.467053E-06   0.119534E-06
    63   0.165286E+04  -0.299975E+01   0.667830E-03  -0.299975E+01   0.230227E+00  -0.435820E-06   0.667830E-03  -0.435820E-06   0.118857E-06
