#    L    TT             EE             BB             TE          
    91   0.237266E+04   0.605344E+00   0.207208E-02  -0.169251E+02
    92   0.240162E+04   0.619993E+00   0.211824E-02  -0.175367E+02
    93   0.243086E+04   0.634617E+00   0.216496E-02  -0.181530E+02
    94   0.246016E+04   0.649177E+00   0.221223E-02  -0.187725E+02
    95   0.248975E+04   0.663676E+00   0.226006E-02  -0.193960E+02
    96   0.251932E+04   0.678098E+00   0.230845E-02  -0.200228E+02
    97   0.254932E+04   0.692431E+00   0.235740E-02  -0.206521E+02
    98   0.257954E+04   0.706666E+00   0.240692E-02  -0.212818E+02
    99   0.260982E+04   0.720768E+00   0.245701E-02  -0.219149E+02
   100   0.264039E+04   0.734738E+00   0.250767E-02  -0.225469E+02
   101   0.267110E+04   0.748636E+00   0.255891E-02  -0.231809E+02
   102   0.270232E+04   0.762313E+00   0.261072E-02  -0.238146E+02
   103   0.273346E+04   0.775846E+00   0.266312E-02  -0.244489E+02
   104   0.276482E+04   0.789234E+00   0.271610E-02  -0.250807E+02
   105   0.279631E+04   0.802405E+00   0.276968E-02  -0.257117E+02
   106   0.282803E+04   0.815433E+00   0.282384E-02  -0.263410E+02
   107   0.285967E+04   0.828170E+00   0.287860E-02  -0.269674E+02
   108   0.289167E+04   0.840693E+00   0.293396E-02  -0.275914E+02
   109   0.292382E+04   0.852926E+00   0.298992E-02  -0.282117E+02
   110   0.295605E+04   0.864871E+00   0.304649E-02  -0.288269E+02
   111   0.298842E+04   0.876603E+00   0.310367E-02  -0.294384E+02
   112   0.302094E+04   0.888049E+00   0.316146E-02  -0.300454E+02
   113   0.305367E+04   0.899208E+00   0.321986E-02  -0.306466E+02
   114   0.308648E+04   0.910006E+00   0.327889E-02  -0.312410E+02
   115   0.311950E+04   0.920593E+00   0.333853E-02  -0.318288E+02
   116   0.315252E+04   0.930746E+00   0.339881E-02  -0.324091E+02
   117   0.318583E+04   0.940539E+00   0.345972E-02  -0.329812E+02
   118   0.321928E+04   0.950123E+00   0.352127E-02  -0.335458E+02
   119   0.325272E+04   0.959348E+00   0.358345E-02  -0.341007E+02
   120   0.328629E+04   0.968066E+00   0.364628E-02  -0.346458E+02
   121   0.331986E+04   0.976575E+00   0.370976E-02  -0.351812E+02
   122   0.335349E+04   0.984579E+00   0.377390E-02  -0.357060E+02
   123   0.338717E+04   0.992151E+00   0.383870E-02  -0.362202E+02
   124   0.342092E+04   0.999367E+00   0.390416E-02  -0.367210E+02
   125   0.345465E+04   0.100615E+01   0.397028E-02  -0.372104E+02
   126   0.348844E+04   0.101258E+01   0.403709E-02  -0.376877E+02
   127   0.352221E+04   0.101851E+01   0.410457E-02  -0.381522E+02
   128   0.355597E+04   0.102408E+01   0.417275E-02  -0.386031E+02
   129   0.358977E+04   0.102915E+01   0.424161E-02  -0.390396E+02
   130   0.362356E+04   0.103371E+01   0.431117E-02  -0.394610E+02
   131   0.365732E+04   0.103793E+01   0.438144E-02  -0.398688E+02
   132   0.369114E+04   0.104164E+01   0.445241E-02  -0.402600E+02
   133   0.372487E+04   0.104492E+01   0.452411E-02  -0.406368E+02
   134   0.375857E+04   0.104778E+01   0.459652E-02  -0.409950E+02
   135   0.379226E+04   0.105013E+01   0.466967E-02  -0.413374E+02
   136   0.382579E+04   0.105199E+01   0.474355E-02  -0.416604E+02
   137   0.385930E+04   0.105342E+01   0.481818E-02  -0.419663E+02
   138   0.389272E+04   0.105435E+01   0.489355E-02  -0.422537E+02
   139   0.392591E+04   0.105494E+01   0.496968E-02  -0.425217E+02
   140   0.395916E+04   0.105495E+01   0.504657E-02  -0.427713E+02
   141   0.399218E+04   0.105446E+01   0.512423E-02  -0.430002E+02
   142   0.402519E+04   0.105355E+01   0.520267E-02  -0.432091E+02
   143   0.405812E+04   0.105221E+01   0.528188E-02  -0.433982E+02
   144   0.409082E+04   0.105038E+01   0.536189E-02  -0.435668E+02
   145   0.412337E+04   0.104820E+01   0.544269E-02  -0.437141E+02
   146   0.415599E+04   0.104545E+01   0.552429E-02  -0.438401E+02
   147   0.418824E+04   0.104236E+01   0.560670E-02  -0.439435E+02
   148   0.422033E+04   0.103877E+01   0.568993E-02  -0.440257E+02
   149   0.425236E+04   0.103476E+01   0.577397E-02  -0.440854E+02
   150   0.428408E+04   0.103040E+01   0.585883E-02  -0.441202E+02
   151   0.431566E+04   0.102563E+01   0.594452E-02  -0.441333E+02
   152   0.434695E+04   0.102036E+01   0.603105E-02  -0.441231E+02
   153   0.437809E+04   0.101474E+01   0.611842E-02  -0.440875E+02
   154   0.440901E+04   0.100878E+01   0.620663E-02  -0.440286E+02
   155   0.443970E+04   0.100248E+01   0.629568E-02  -0.439456E+02
   156   0.447002E+04   0.995824E+00   0.638559E-02  -0.438387E+02
   157   0.450027E+04   0.988826E+00   0.647635E-02  -0.437063E+02
   158   0.453021E+04   0.981555E+00   0.656796E-02  -0.435491E+02
   159   0.455986E+04   0.973863E+00   0.666044E-02  -0.433671E+02
   160   0.458928E+04   0.965898E+00   0.675378E-02  -0.431589E+02
   161   0.461847E+04   0.957735E+00   0.684798E-02  -0.429260E+02
   162   0.464736E+04   0.949224E+00   0.694304E-02  -0.426682E+02
   163   0.467610E+04   0.940439E+00   0.703897E-02  -0.423842E+02
   164   0.470438E+04   0.931455E+00   0.713577E-02  -0.420755E+02
   165   0.473251E+04   0.922197E+00   0.723343E-02  -0.417397E+02
   166   0.476033E+04   0.912814E+00   0.733196E-02  -0.413785E+02
   167   0.478792E+04   0.903081E+00   0.743135E-02  -0.409924E+02
   168   0.481506E+04   0.893371E+00   0.753161E-02  -0.405794E+02
   169   0.484189E+04   0.883386E+00   0.763272E-02  -0.401393E+02
   170   0.486841E+04   0.873349E+00   0.773470E-02  -0.396737E+02
   171   0.489447E+04   0.863259E+00   0.783754E-02  -0.391804E+02
   172   0.492015E+04   0.853042E+00   0.794123E-02  -0.386608E+02
   173   0.494537E+04   0.842697E+00   0.804577E-02  -0.381149E+02
   174   0.497028E+04   0.832521E+00   0.815116E-02  -0.375428E+02
   175   0.499481E+04   0.822217E+00   0.825739E-02  -0.369436E+02
   176   0.501880E+04   0.812008E+00   0.836446E-02  -0.363174E+02
   177   0.504240E+04   0.801818E+00   0.847236E-02  -0.356657E+02
   178   0.506555E+04   0.791869E+00   0.858110E-02  -0.349869E+02
   179   0.508824E+04   0.781864E+00   0.869066E-02  -0.342812E+02
   180   0.511061E+04   0.772025E+00   0.880103E-02  -0.335500E+02
   181   0.513246E+04   0.762350E+00   0.891222E-02  -0.327932E+02
   182   0.515386E+04   0.752913E+00   0.902421E-02  -0.320095E+02
   183   0.517472E+04   0.743640E+00   0.913700E-02  -0.312003E+02
   184   0.519521E+04   0.734603E+00   0.925059E-02  -0.303649E+02
   185   0.521524E+04   0.725950E+00   0.936495E-02  -0.295055E+02
   186   0.523445E+04   0.717540E+00   0.948010E-02  -0.286192E+02
   187   0.525351E+04   0.709512E+00   0.959602E-02  -0.277074E+02
   188   0.527204E+04   0.701851E+00   0.971270E-02  -0.267716E+02
   189   0.528998E+04   0.694594E+00   0.983013E-02  -0.258104E+02
   190   0.530776E+04   0.687790E+00   0.994831E-02  -0.248260E+02
   191   0.532466E+04   0.681463E+00   0.100672E-01  -0.238154E+02
   192   0.534118E+04   0.675633E+00   0.101869E-01  -0.227809E+02
   193   0.535710E+04   0.670343E+00   0.103072E-01  -0.217240E+02
   194   0.537266E+04   0.665623E+00   0.104283E-01  -0.206423E+02
   195   0.538762E+04   0.661509E+00   0.105501E-01  -0.195383E+02
   196   0.540200E+04   0.658037E+00   0.106726E-01  -0.184111E+02
   197   0.541593E+04   0.655250E+00   0.107958E-01  -0.172622E+02
   198   0.542935E+04   0.653171E+00   0.109196E-01  -0.160910E+02
   199   0.544225E+04   0.651835E+00   0.110441E-01  -0.148980E+02
   200   0.545464E+04   0.651271E+00   0.111693E-01  -0.136842E+02
   201   0.546645E+04   0.651538E+00   0.112951E-01  -0.124487E+02
   202   0.547774E+04   0.652641E+00   0.114216E-01  -0.111930E+02
   203   0.548845E+04   0.654639E+00   0.115487E-01  -0.991648E+01
   204   0.549849E+04   0.657554E+00   0.116764E-01  -0.862195E+01
   205   0.550802E+04   0.661429E+00   0.118047E-01  -0.730724E+01
   206   0.551690E+04   0.666299E+00   0.119336E-01  -0.597359E+01
   207   0.552526E+04   0.672187E+00   0.120631E-01  -0.462145E+01
   208   0.553288E+04   0.679142E+00   0.121932E-01  -0.325131E+01
   209   0.553992E+04   0.687187E+00   0.123239E-01  -0.186356E+01
   210   0.554637E+04   0.696371E+00   0.124551E-01  -0.459057E+00
   211   0.555223E+04   0.706723E+00   0.125869E-01   0.962133E+00
   212   0.555735E+04   0.718273E+00   0.127192E-01   0.239909E+01
   213   0.556197E+04   0.731063E+00   0.128520E-01   0.385186E+01
   214   0.556592E+04   0.745084E+00   0.129854E-01   0.531925E+01
   215   0.556928E+04   0.760529E+00   0.131192E-01   0.680054E+01
   216   0.557199E+04   0.777211E+00   0.132535E-01   0.829624E+01
   217   0.557418E+04   0.795285E+00   0.133883E-01   0.980437E+01
   218   0.557570E+04   0.814749E+00   0.135236E-01   0.113252E+02
   219   0.557664E+04   0.835601E+00   0.136593E-01   0.128596E+02
   220   0.557699E+04   0.857990E+00   0.137955E-01   0.144032E+02
   221   0.557676E+04   0.881840E+00   0.139321E-01   0.159582E+02
   222   0.557593E+04   0.907299E+00   0.140691E-01   0.175232E+02
   223   0.557437E+04   0.934289E+00   0.142064E-01   0.190988E+02
   224   0.557237E+04   0.962811E+00   0.143442E-01   0.206815E+02
   225   0.556970E+04   0.993012E+00   0.144823E-01   0.222741E+02
   226   0.556645E+04   0.102489E+01   0.146208E-01   0.238731E+02
   227   0.556254E+04   0.105844E+01   0.147596E-01   0.254798E+02
   228   0.555811E+04   0.109367E+01   0.148987E-01   0.270928E+02
   229   0.555309E+04   0.113065E+01   0.150382E-01   0.287106E+02
   230   0.554741E+04   0.116937E+01   0.151779E-01   0.303340E+02
   231   0.554106E+04   0.120991E+01   0.153179E-01   0.319622E+02
   232   0.553421E+04   0.125220E+01   0.154581E-01   0.335938E+02
   233   0.552676E+04   0.129645E+01   0.155986E-01   0.352273E+02
   234   0.551857E+04   0.134252E+01   0.157392E-01   0.368635E+02
   235   0.550987E+04   0.139047E+01   0.158801E-01   0.385009E+02
   236   0.550051E+04   0.144031E+01   0.160212E-01   0.401394E+02
   237   0.549056E+04   0.149211E+01   0.161624E-01   0.417777E+02
   238   0.548002E+04   0.154595E+01   0.163037E-01   0.434157E+02
   239   0.546896E+04   0.160166E+01   0.164452E-01   0.450527E+02
   240   0.545716E+04   0.165934E+01   0.165867E-01   0.466865E+02
   241   0.544493E+04   0.171911E+01   0.167284E-01   0.483178E+02
   242   0.543210E+04   0.178084E+01   0.168701E-01   0.499460E+02
   243   0.541869E+04   0.184467E+01   0.170119E-01   0.515695E+02
   244   0.540468E+04   0.191052E+01   0.171536E-01   0.531891E+02
   245   0.539009E+04   0.197847E+01   0.172954E-01   0.548018E+02
   246   0.537497E+04   0.204852E+01   0.174372E-01   0.564092E+02
   247   0.535935E+04   0.212058E+01   0.175789E-01   0.580090E+02
   248   0.534313E+04   0.219504E+01   0.177206E-01   0.596013E+02
   249   0.532647E+04   0.227136E+01   0.178622E-01   0.611852E+02
   250   0.530923E+04   0.235000E+01   0.180037E-01   0.627594E+02
   251   0.529153E+04   0.243065E+01   0.181451E-01   0.643246E+02
   252   0.527318E+04   0.251355E+01   0.182863E-01   0.658794E+02
   253   0.525453E+04   0.259845E+01   0.184274E-01   0.674222E+02
   254   0.523529E+04   0.268567E+01   0.185683E-01   0.689531E+02
   255   0.521554E+04   0.277490E+01   0.187091E-01   0.704721E+02
   256   0.519535E+04   0.286652E+01   0.188496E-01   0.719792E+02
   257   0.517471E+04   0.296008E+01   0.189899E-01   0.734662E+02
   258   0.515356E+04   0.305595E+01   0.191300E-01   0.749459E+02
   259   0.513196E+04   0.315399E+01   0.192698E-01   0.764033E+02
   260   0.511000E+04   0.325419E+01   0.194093E-01   0.778534E+02
   261   0.508753E+04   0.335648E+01   0.195486E-01   0.792738E+02
   262   0.506454E+04   0.346109E+01   0.196875E-01   0.806870E+02
   263   0.504140E+04   0.356778E+01   0.198261E-01   0.820853E+02
   264   0.501768E+04   0.367664E+01   0.199643E-01   0.834616E+02
   265   0.499344E+04   0.378759E+01   0.201022E-01   0.848083E+02
   266   0.496891E+04   0.390086E+01   0.202398E-01   0.861477E+02
   267   0.494387E+04   0.401606E+01   0.203769E-01   0.874576E+02
   268   0.491845E+04   0.413358E+01   0.205137E-01   0.887529E+02
   269   0.489253E+04   0.425312E+01   0.206500E-01   0.900261E+02
   270   0.486638E+04   0.437475E+01   0.207860E-01   0.912773E+02
   271   0.483980E+04   0.449839E+01   0.209214E-01   0.925065E+02
   272   0.481300E+04   0.462435E+01   0.210565E-01   0.937062E+02
   273   0.478575E+04   0.475204E+01   0.211911E-01   0.948914E+02
   274   0.475822E+04   0.488203E+01   0.213252E-01   0.960398E+02
   275   0.473032E+04   0.501382E+01   0.214588E-01   0.971737E+02
   276   0.470220E+04   0.514763E+01   0.215920E-01   0.982708E+02
   277   0.467364E+04   0.528346E+01   0.217247E-01   0.993535E+02
   278   0.464486E+04   0.542123E+01   0.218568E-01   0.100399E+03
   279   0.461579E+04   0.556088E+01   0.219884E-01   0.101416E+03
   280   0.458643E+04   0.570239E+01   0.221196E-01   0.102418E+03
   281   0.455693E+04   0.584585E+01   0.222501E-01   0.103384E+03
   282   0.452699E+04   0.599096E+01   0.223802E-01   0.104320E+03
   283   0.449690E+04   0.613794E+01   0.225097E-01   0.105227E+03
   284   0.446660E+04   0.628672E+01   0.226386E-01   0.106105E+03
   285   0.443607E+04   0.643730E+01   0.227670E-01   0.106954E+03
   286   0.440526E+04   0.658952E+01   0.228948E-01   0.107766E+03
   287   0.437423E+04   0.674340E+01   0.230221E-01   0.108556E+03
   288   0.434305E+04   0.689893E+01   0.231487E-01   0.109310E+03
   289   0.431166E+04   0.705603E+01   0.232748E-01   0.110035E+03
   290   0.428013E+04   0.721456E+01   0.234003E-01   0.110731E+03
   291   0.424845E+04   0.737527E+01   0.235252E-01   0.111383E+03
   292   0.421633E+04   0.753703E+01   0.236495E-01   0.112013E+03
   293   0.418437E+04   0.769948E+01   0.237732E-01   0.112599E+03
   294   0.415211E+04   0.786410E+01   0.238963E-01   0.113164E+03
   295   0.411993E+04   0.802942E+01   0.240187E-01   0.113685E+03
   296   0.408746E+04   0.819690E+01   0.241406E-01   0.114177E+03
   297   0.405492E+04   0.836434E+01   0.242618E-01   0.114641E+03
   298   0.402217E+04   0.853394E+01   0.243824E-01   0.115060E+03
   299   0.398942E+04   0.870499E+01   0.245023E-01   0.115443E+03
   300   0.395652E+04   0.887598E+01   0.246216E-01   0.115790E+03
