#    L    TT             EE             BB             TE          
   390   0.174354E+04   0.210172E+02   0.334536E-01   0.187090E+02
   391   0.173518E+04   0.210336E+02   0.335495E-01   0.168174E+02
   392   0.172718E+04   0.210480E+02   0.336459E-01   0.149293E+02
   393   0.171970E+04   0.210573E+02   0.337428E-01   0.130440E+02
   394   0.171257E+04   0.210631E+02   0.338401E-01   0.111638E+02
   395   0.170582E+04   0.210645E+02   0.339380E-01   0.928700E+01
   396   0.169957E+04   0.210623E+02   0.340363E-01   0.741729E+01
   397   0.169361E+04   0.210566E+02   0.341351E-01   0.555327E+01
   398   0.168817E+04   0.210466E+02   0.342345E-01   0.369623E+01
   399   0.168309E+04   0.210330E+02   0.343345E-01   0.184704E+01
   400   0.167837E+04   0.210158E+02   0.344350E-01   0.653878E-02
   401   0.167409E+04   0.209944E+02   0.345361E-01  -0.182469E+01
   402   0.167025E+04   0.209686E+02   0.346378E-01  -0.364575E+01
   403   0.166678E+04   0.209400E+02   0.347401E-01  -0.545606E+01
   404   0.166366E+04   0.209071E+02   0.348430E-01  -0.725409E+01
   405   0.166099E+04   0.208698E+02   0.349466E-01  -0.904066E+01
   406   0.165861E+04   0.208298E+02   0.350508E-01  -0.108136E+02
   407   0.165667E+04   0.207854E+02   0.351556E-01  -0.125743E+02
   408   0.165509E+04   0.207375E+02   0.352612E-01  -0.143185E+02
   409   0.165395E+04   0.206867E+02   0.353674E-01  -0.160483E+02
   410   0.165310E+04   0.206309E+02   0.354744E-01  -0.177630E+02
   411   0.165269E+04   0.205722E+02   0.355821E-01  -0.194604E+02
   412   0.165257E+04   0.205099E+02   0.356905E-01  -0.211413E+02
   413   0.165282E+04   0.204441E+02   0.357996E-01  -0.228042E+02
   414   0.165336E+04   0.203747E+02   0.359096E-01  -0.244492E+02
   415   0.165433E+04   0.203024E+02   0.360202E-01  -0.260739E+02
   416   0.165560E+04   0.202258E+02   0.361317E-01  -0.276800E+02
   417   0.165716E+04   0.201463E+02   0.362439E-01  -0.292666E+02
   418   0.165909E+04   0.200618E+02   0.363570E-01  -0.308310E+02
   419   0.166138E+04   0.199752E+02   0.364709E-01  -0.323737E+02
   420   0.166397E+04   0.198857E+02   0.365856E-01  -0.338948E+02
   421   0.166692E+04   0.197926E+02   0.367011E-01  -0.353929E+02
   422   0.167016E+04   0.196959E+02   0.368174E-01  -0.368688E+02
   423   0.167363E+04   0.195956E+02   0.369346E-01  -0.383201E+02
   424   0.167738E+04   0.194924E+02   0.370527E-01  -0.397477E+02
   425   0.168150E+04   0.193856E+02   0.371716E-01  -0.411494E+02
   426   0.168592E+04   0.192768E+02   0.372914E-01  -0.425259E+02
   427   0.169055E+04   0.191642E+02   0.374120E-01  -0.438780E+02
   428   0.169548E+04   0.190489E+02   0.375335E-01  -0.452020E+02
   429   0.170062E+04   0.189306E+02   0.376559E-01  -0.464994E+02
   430   0.170613E+04   0.188102E+02   0.377792E-01  -0.477702E+02
   431   0.171187E+04   0.186862E+02   0.379034E-01  -0.490130E+02
   432   0.171775E+04   0.185593E+02   0.380284E-01  -0.502285E+02
   433   0.172399E+04   0.184310E+02   0.381543E-01  -0.514137E+02
   434   0.173038E+04   0.182991E+02   0.382812E-01  -0.525717E+02
   435   0.173700E+04   0.181658E+02   0.384089E-01  -0.537003E+02
   436   0.174391E+04   0.180295E+02   0.385374E-01  -0.547994E+02
   437   0.175103E+04   0.178904E+02   0.386669E-01  -0.558676E+02
   438   0.175831E+04   0.177491E+02   0.387972E-01  -0.569050E+02
   439   0.176588E+04   0.176064E+02   0.389285E-01  -0.579129E+02
   440   0.177360E+04   0.174608E+02   0.390605E-01  -0.588885E+02
   441   0.178154E+04   0.173131E+02   0.391935E-01  -0.598340E+02
   442   0.178955E+04   0.171631E+02   0.393273E-01  -0.607473E+02
   443   0.179786E+04   0.170117E+02   0.394619E-01  -0.616290E+02
   444   0.180632E+04   0.168589E+02   0.395974E-01  -0.624777E+02
   445   0.181492E+04   0.167025E+02   0.397338E-01  -0.632941E+02
   446   0.182360E+04   0.165461E+02   0.398709E-01  -0.640769E+02
   447   0.183250E+04   0.163882E+02   0.400089E-01  -0.648282E+02
   448   0.184148E+04   0.162274E+02   0.401477E-01  -0.655465E+02
   449   0.185068E+04   0.160659E+02   0.402873E-01  -0.662305E+02
   450   0.186004E+04   0.159037E+02   0.404276E-01  -0.668822E+02
   451   0.186946E+04   0.157393E+02   0.405688E-01  -0.674997E+02
   452   0.187896E+04   0.155741E+02   0.407107E-01  -0.680849E+02
   453   0.188869E+04   0.154083E+02   0.408534E-01  -0.686358E+02
   454   0.189842E+04   0.152409E+02   0.409968E-01  -0.691538E+02
   455   0.190822E+04   0.150729E+02   0.411409E-01  -0.696389E+02
   456   0.191825E+04   0.149034E+02   0.412857E-01  -0.700843E+02
   457   0.192821E+04   0.147338E+02   0.414313E-01  -0.705043E+02
   458   0.193832E+04   0.145636E+02   0.415775E-01  -0.708801E+02
   459   0.194851E+04   0.143933E+02   0.417245E-01  -0.712275E+02
   460   0.195877E+04   0.142215E+02   0.418720E-01  -0.715404E+02
   461   0.196903E+04   0.140497E+02   0.420203E-01  -0.718196E+02
   462   0.197938E+04   0.138772E+02   0.421691E-01  -0.720591E+02
   463   0.198972E+04   0.137054E+02   0.423186E-01  -0.722775E+02
   464   0.200007E+04   0.135335E+02   0.424687E-01  -0.724451E+02
   465   0.201043E+04   0.133617E+02   0.426193E-01  -0.725915E+02
   466   0.202086E+04   0.131890E+02   0.427706E-01  -0.726945E+02
   467   0.203137E+04   0.130171E+02   0.429224E-01  -0.727688E+02
   468   0.204180E+04   0.128458E+02   0.430747E-01  -0.728072E+02
   469   0.205225E+04   0.126738E+02   0.432275E-01  -0.728169E+02
   470   0.206277E+04   0.125032E+02   0.433809E-01  -0.727906E+02
   471   0.207307E+04   0.123340E+02   0.435348E-01  -0.727282E+02
   472   0.208353E+04   0.121648E+02   0.436891E-01  -0.726372E+02
   473   0.209391E+04   0.119962E+02   0.438439E-01  -0.725100E+02
   474   0.210431E+04   0.118290E+02   0.439992E-01  -0.723541E+02
   475   0.211470E+04   0.116618E+02   0.441548E-01  -0.721621E+02
   476   0.212496E+04   0.114967E+02   0.443109E-01  -0.719362E+02
   477   0.213514E+04   0.113323E+02   0.444674E-01  -0.716860E+02
   478   0.214533E+04   0.111685E+02   0.446243E-01  -0.713930E+02
   479   0.215545E+04   0.110069E+02   0.447815E-01  -0.710815E+02
   480   0.216551E+04   0.108466E+02   0.449391E-01  -0.707324E+02
   481   0.217549E+04   0.106877E+02   0.450970E-01  -0.703492E+02
   482   0.218548E+04   0.105309E+02   0.452552E-01  -0.699380E+02
   483   0.219526E+04   0.103755E+02   0.454137E-01  -0.695009E+02
   484   0.220489E+04   0.102222E+02   0.455725E-01  -0.690319E+02
   485   0.221461E+04   0.100703E+02   0.457315E-01  -0.685326E+02
   486   0.222418E+04   0.992114E+01   0.458908E-01  -0.680051E+02
   487   0.223361E+04   0.977411E+01   0.460502E-01  -0.674494E+02
   488   0.224290E+04   0.962843E+01   0.462099E-01  -0.668648E+02
   489   0.225212E+04   0.948557E+01   0.463698E-01  -0.662527E+02
   490   0.226128E+04   0.934552E+01   0.465298E-01  -0.656124E+02
   491   0.227015E+04   0.920753E+01   0.466899E-01  -0.649467E+02
   492   0.227902E+04   0.907235E+01   0.468502E-01  -0.642550E+02
   493   0.228776E+04   0.893848E+01   0.470106E-01  -0.635357E+02
   494   0.229635E+04   0.880889E+01   0.471710E-01  -0.627925E+02
   495   0.230473E+04   0.868135E+01   0.473315E-01  -0.620239E+02
   496   0.231297E+04   0.855733E+01   0.474920E-01  -0.612314E+02
   497   0.232107E+04   0.843608E+01   0.476525E-01  -0.604142E+02
   498   0.232903E+04   0.831686E+01   0.478131E-01  -0.595752E+02
   499   0.233692E+04   0.820189E+01   0.479735E-01  -0.587115E+02
   500   0.234460E+04   0.808894E+01   0.481340E-01  -0.578274E+02
   501   0.235200E+04   0.798022E+01   0.482943E-01  -0.569215E+02
   502   0.235940E+04   0.787500E+01   0.484545E-01  -0.559938E+02
   503   0.236651E+04   0.777253E+01   0.486146E-01  -0.550463E+02
   504   0.237341E+04   0.767354E+01   0.487745E-01  -0.540778E+02
   505   0.238032E+04   0.757879E+01   0.489343E-01  -0.530917E+02
   506   0.238687E+04   0.748767E+01   0.490938E-01  -0.520859E+02
   507   0.239336E+04   0.739989E+01   0.492531E-01  -0.510625E+02
   508   0.239955E+04   0.731648E+01   0.494121E-01  -0.500208E+02
   509   0.240561E+04   0.723647E+01   0.495709E-01  -0.489638E+02
   510   0.241138E+04   0.716054E+01   0.497293E-01  -0.478906E+02
   511   0.241708E+04   0.708838E+01   0.498874E-01  -0.468013E+02
   512   0.242250E+04   0.702043E+01   0.500452E-01  -0.456972E+02
   513   0.242778E+04   0.695648E+01   0.502025E-01  -0.445799E+02
   514   0.243285E+04   0.689682E+01   0.503595E-01  -0.434493E+02
   515   0.243770E+04   0.684136E+01   0.505160E-01  -0.423054E+02
   516   0.244234E+04   0.679019E+01   0.506720E-01  -0.411496E+02
   517   0.244669E+04   0.674345E+01   0.508275E-01  -0.399827E+02
   518   0.245090E+04   0.670099E+01   0.509825E-01  -0.388053E+02
   519   0.245497E+04   0.666303E+01   0.511369E-01  -0.376167E+02
   520   0.245876E+04   0.662949E+01   0.512908E-01  -0.364198E+02
   521   0.246226E+04   0.660045E+01   0.514441E-01  -0.352146E+02
   522   0.246554E+04   0.657613E+01   0.515968E-01  -0.340011E+02
   523   0.246869E+04   0.655638E+01   0.517488E-01  -0.327807E+02
   524   0.247162E+04   0.654119E+01   0.519001E-01  -0.315540E+02
   525   0.247419E+04   0.653071E+01   0.520507E-01  -0.303204E+02
   526   0.247662E+04   0.652495E+01   0.522007E-01  -0.290821E+02
   527   0.247899E+04   0.652389E+01   0.523498E-01  -0.278396E+02
   528   0.248100E+04   0.652755E+01   0.524982E-01  -0.265946E+02
   529   0.248279E+04   0.653620E+01   0.526459E-01  -0.253454E+02
   530   0.248429E+04   0.654964E+01   0.527927E-01  -0.240957E+02
   531   0.248581E+04   0.656778E+01   0.529386E-01  -0.228426E+02
   532   0.248688E+04   0.659091E+01   0.530838E-01  -0.215896E+02
   533   0.248775E+04   0.661890E+01   0.532280E-01  -0.203369E+02
   534   0.248840E+04   0.665181E+01   0.533714E-01  -0.190849E+02
   535   0.248884E+04   0.668971E+01   0.535138E-01  -0.178346E+02
   536   0.248906E+04   0.673246E+01   0.536553E-01  -0.165858E+02
   537   0.248914E+04   0.678013E+01   0.537959E-01  -0.153400E+02
   538   0.248886E+04   0.683286E+01   0.539355E-01  -0.140978E+02
   539   0.248844E+04   0.689037E+01   0.540741E-01  -0.128601E+02
   540   0.248781E+04   0.695308E+01   0.542117E-01  -0.116274E+02
   541   0.248689E+04   0.702056E+01   0.543484E-01  -0.103998E+02
   542   0.248583E+04   0.709302E+01   0.544839E-01  -0.917938E+01
   543   0.248448E+04   0.717055E+01   0.546185E-01  -0.796573E+01
   544   0.248299E+04   0.725299E+01   0.547520E-01  -0.675975E+01
   545   0.248121E+04   0.734034E+01   0.548844E-01  -0.556200E+01
   546   0.247929E+04   0.743238E+01   0.550157E-01  -0.437347E+01
   547   0.247709E+04   0.752932E+01   0.551459E-01  -0.319441E+01
   548   0.247474E+04   0.763118E+01   0.552751E-01  -0.202584E+01
   549   0.247218E+04   0.773794E+01   0.554031E-01  -0.868389E+00
   550   0.246940E+04   0.784961E+01   0.555300E-01   0.277390E+00
   551   0.246648E+04   0.796619E+01   0.556557E-01   0.141093E+01
   552   0.246327E+04   0.808769E+01   0.557803E-01   0.253117E+01
   553   0.245992E+04   0.821261E+01   0.559038E-01   0.363789E+01
   554   0.245635E+04   0.834393E+01   0.560261E-01   0.473031E+01
   555   0.245257E+04   0.847943E+01   0.561472E-01   0.580761E+01
   556   0.244858E+04   0.861986E+01   0.562671E-01   0.686966E+01
   557   0.244444E+04   0.876447E+01   0.563859E-01   0.791470E+01
   558   0.244008E+04   0.891475E+01   0.565034E-01   0.894334E+01
   559   0.243551E+04   0.906848E+01   0.566198E-01   0.995485E+01
   560   0.243087E+04   0.922641E+01   0.567349E-01   0.109478E+02
   561   0.242586E+04   0.938929E+01   0.568488E-01   0.119221E+02
   562   0.242086E+04   0.955711E+01   0.569615E-01   0.128771E+02
   563   0.241564E+04   0.972839E+01   0.570730E-01   0.138143E+02
   564   0.241028E+04   0.990537E+01   0.571832E-01   0.147285E+02
   565   0.240470E+04   0.100851E+02   0.572922E-01   0.156235E+02
   566   0.239897E+04   0.102698E+02   0.574000E-01   0.164962E+02
   567   0.239311E+04   0.104579E+02   0.575065E-01   0.173475E+02
   568   0.238710E+04   0.106510E+02   0.576118E-01   0.181758E+02
   569   0.238086E+04   0.108484E+02   0.577158E-01   0.189835E+02
   570   0.237456E+04   0.110493E+02   0.578185E-01   0.197653E+02
   571   0.236804E+04   0.112544E+02   0.579200E-01   0.205235E+02
   572   0.236138E+04   0.114630E+02   0.580202E-01   0.212581E+02
   573   0.235464E+04   0.116751E+02   0.581192E-01   0.219668E+02
   574   0.234776E+04   0.118915E+02   0.582169E-01   0.226513E+02
   575   0.234073E+04   0.121106E+02   0.583133E-01   0.233092E+02
   576   0.233363E+04   0.123340E+02   0.584084E-01   0.239420E+02
   577   0.232631E+04   0.125610E+02   0.585023E-01   0.245484E+02
   578   0.231892E+04   0.127907E+02   0.585948E-01   0.251275E+02
   579   0.231146E+04   0.130247E+02   0.586861E-01   0.256802E+02
   580   0.230392E+04   0.132616E+02   0.587762E-01   0.262042E+02
   581   0.229609E+04   0.135012E+02   0.588649E-01   0.267017E+02
   582   0.228826E+04   0.137444E+02   0.589524E-01   0.271705E+02
   583   0.228035E+04   0.139904E+02   0.590386E-01   0.276100E+02
   584   0.227237E+04   0.142393E+02   0.591235E-01   0.280216E+02
   585   0.226432E+04   0.144909E+02   0.592071E-01   0.284038E+02
   586   0.225612E+04   0.147447E+02   0.592895E-01   0.287567E+02
   587   0.224791E+04   0.150021E+02   0.593706E-01   0.290802E+02
   588   0.223956E+04   0.152615E+02   0.594504E-01   0.293729E+02
   589   0.223114E+04   0.155239E+02   0.595290E-01   0.296363E+02
   590   0.222264E+04   0.157876E+02   0.596063E-01   0.298697E+02
   591   0.221413E+04   0.160549E+02   0.596823E-01   0.300723E+02
   592   0.220555E+04   0.163229E+02   0.597571E-01   0.302433E+02
   593   0.219690E+04   0.165945E+02   0.598307E-01   0.303851E+02
   594   0.218809E+04   0.168675E+02   0.599031E-01   0.304947E+02
   595   0.217929E+04   0.171411E+02   0.599742E-01   0.305743E+02
   596   0.217055E+04   0.174185E+02   0.600441E-01   0.306216E+02
   597   0.216174E+04   0.176950E+02   0.601128E-01   0.306382E+02
   598   0.215307E+04   0.179744E+02   0.601803E-01   0.306234E+02
   599   0.214425E+04   0.182553E+02   0.602467E-01   0.305779E+02
   600   0.213535E+04   0.185377E+02   0.603118E-01   0.305002E+02
   601   0.212644E+04   0.188214E+02   0.603758E-01   0.303910E+02
   602   0.211753E+04   0.191052E+02   0.604387E-01   0.302496E+02
   603   0.210855E+04   0.193912E+02   0.605004E-01   0.300783E+02
   604   0.209970E+04   0.196772E+02   0.605610E-01   0.298748E+02
   605   0.209078E+04   0.199639E+02   0.606205E-01   0.296397E+02
   606   0.208193E+04   0.202514E+02   0.606789E-01   0.293732E+02
   607   0.207285E+04   0.205396E+02   0.607363E-01   0.290751E+02
   608   0.206398E+04   0.208286E+02   0.607926E-01   0.287455E+02
   609   0.205519E+04   0.211168E+02   0.608478E-01   0.283844E+02
   610   0.204631E+04   0.214051E+02   0.609021E-01   0.279916E+02
   611   0.203750E+04   0.216942E+02   0.609553E-01   0.275681E+02
   612   0.202876E+04   0.219841E+02   0.610076E-01   0.271143E+02
   613   0.201994E+04   0.222711E+02   0.610589E-01   0.266283E+02
   614   0.201126E+04   0.225596E+02   0.611093E-01   0.261113E+02
   615   0.200258E+04   0.228467E+02   0.611587E-01   0.255641E+02
   616   0.199396E+04   0.231346E+02   0.612073E-01   0.249867E+02
   617   0.198548E+04   0.234219E+02   0.612550E-01   0.243791E+02
   618   0.197699E+04   0.237085E+02   0.613019E-01   0.237404E+02
   619   0.196850E+04   0.239953E+02   0.613479E-01   0.230738E+02
   620   0.196022E+04   0.242791E+02   0.613931E-01   0.223768E+02
   621   0.195186E+04   0.245631E+02   0.614375E-01   0.216503E+02
   622   0.194364E+04   0.248457E+02   0.614812E-01   0.208941E+02
   623   0.193556E+04   0.251263E+02   0.615241E-01   0.201106E+02
   624   0.192748E+04   0.254055E+02   0.615664E-01   0.192981E+02
   625   0.191945E+04   0.256833E+02   0.616079E-01   0.184567E+02
   626   0.191157E+04   0.259599E+02   0.616488E-01   0.175878E+02
   627   0.190382E+04   0.262344E+02   0.616890E-01   0.166914E+02
   628   0.189614E+04   0.265068E+02   0.617286E-01   0.157674E+02
   629   0.188860E+04   0.267772E+02   0.617677E-01   0.148166E+02
   630   0.188105E+04   0.270455E+02   0.618061E-01   0.138382E+02
   631   0.187364E+04   0.273118E+02   0.618441E-01   0.128352E+02
   632   0.186644E+04   0.275754E+02   0.618815E-01   0.118052E+02
   633   0.185923E+04   0.278377E+02   0.619184E-01   0.107505E+02
   634   0.185223E+04   0.280957E+02   0.619548E-01   0.967105E+01
   635   0.184537E+04   0.283526E+02   0.619908E-01   0.856717E+01
   636   0.183850E+04   0.286074E+02   0.620264E-01   0.743949E+01
   637   0.183184E+04   0.288573E+02   0.620616E-01   0.628739E+01
   638   0.182531E+04   0.291059E+02   0.620964E-01   0.511300E+01
   639   0.181893E+04   0.293504E+02   0.621308E-01   0.391529E+01
   640   0.181268E+04   0.295929E+02   0.621649E-01   0.269585E+01
   641   0.180656E+04   0.298320E+02   0.621987E-01   0.145459E+01
   642   0.180051E+04   0.300670E+02   0.622322E-01   0.192243E+00
   643   0.179467E+04   0.303000E+02   0.622655E-01  -0.109073E+01
   644   0.178904E+04   0.305274E+02   0.622985E-01  -0.239372E+01
   645   0.178347E+04   0.307521E+02   0.623313E-01  -0.371645E+01
   646   0.177804E+04   0.309735E+02   0.623639E-01  -0.505831E+01
   647   0.177289E+04   0.311907E+02   0.623963E-01  -0.641918E+01
   648   0.176773E+04   0.314046E+02   0.624286E-01  -0.779719E+01
   649   0.176285E+04   0.316136E+02   0.624607E-01  -0.919311E+01
   650   0.175811E+04   0.318186E+02   0.624928E-01  -0.106055E+02
   651   0.175350E+04   0.320209E+02   0.625247E-01  -0.120344E+02
   652   0.174903E+04   0.322184E+02   0.625566E-01  -0.134791E+02
   653   0.174484E+04   0.324104E+02   0.625885E-01  -0.149382E+02
   654   0.174071E+04   0.325990E+02   0.626203E-01  -0.164110E+02
   655   0.173671E+04   0.327836E+02   0.626521E-01  -0.178982E+02
   656   0.173300E+04   0.329633E+02   0.626839E-01  -0.193985E+02
   657   0.172943E+04   0.331383E+02   0.627158E-01  -0.209103E+02
   658   0.172591E+04   0.333092E+02   0.627477E-01  -0.224345E+02
   659   0.172276E+04   0.334753E+02   0.627797E-01  -0.239696E+02
   660   0.171974E+04   0.336358E+02   0.628118E-01  -0.255149E+02
   661   0.171685E+04   0.337916E+02   0.628441E-01  -0.270690E+02
   662   0.171418E+04   0.339433E+02   0.628765E-01  -0.286334E+02
   663   0.171164E+04   0.340903E+02   0.629090E-01  -0.302067E+02
   664   0.170931E+04   0.342309E+02   0.629417E-01  -0.317867E+02
   665   0.170711E+04   0.343668E+02   0.629747E-01  -0.333742E+02
   666   0.170513E+04   0.344979E+02   0.630079E-01  -0.349678E+02
   667   0.170336E+04   0.346235E+02   0.630413E-01  -0.365674E+02
   668   0.170164E+04   0.347443E+02   0.630750E-01  -0.381725E+02
   669   0.170029E+04   0.348597E+02   0.631090E-01  -0.397815E+02
   670   0.169900E+04   0.349695E+02   0.631433E-01  -0.413931E+02
   671   0.169799E+04   0.350753E+02   0.631779E-01  -0.430088E+02
   672   0.169705E+04   0.351741E+02   0.632129E-01  -0.446271E+02
   673   0.169639E+04   0.352689E+02   0.632483E-01  -0.462459E+02
   674   0.169587E+04   0.353574E+02   0.632840E-01  -0.478659E+02
   675   0.169556E+04   0.354405E+02   0.633202E-01  -0.494866E+02
   676   0.169538E+04   0.355180E+02   0.633568E-01  -0.511056E+02
   677   0.169542E+04   0.355901E+02   0.633939E-01  -0.527238E+02
   678   0.169567E+04   0.356560E+02   0.634314E-01  -0.543406E+02
   679   0.169605E+04   0.357171E+02   0.634695E-01  -0.559544E+02
   680   0.169672E+04   0.357727E+02   0.635081E-01  -0.575654E+02
   681   0.169753E+04   0.358221E+02   0.635472E-01  -0.591713E+02
   682   0.169847E+04   0.358652E+02   0.635869E-01  -0.607737E+02
   683   0.169970E+04   0.359044E+02   0.636271E-01  -0.623720E+02
   684   0.170100E+04   0.359359E+02   0.636680E-01  -0.639639E+02
   685   0.170243E+04   0.359627E+02   0.637094E-01  -0.655495E+02
   686   0.170408E+04   0.359832E+02   0.637515E-01  -0.671200E+02
   687   0.170601E+04   0.359990E+02   0.637943E-01  -0.686865E+02
   688   0.170800E+04   0.360078E+02   0.638377E-01  -0.702469E+02
   689   0.171021E+04   0.360112E+02   0.638818E-01  -0.717938E+02
   690   0.171256E+04   0.360099E+02   0.639266E-01  -0.733347E+02
   691   0.171512E+04   0.360008E+02   0.639722E-01  -0.748623E+02
   692   0.171782E+04   0.359878E+02   0.640184E-01  -0.763765E+02
   693   0.172073E+04   0.359686E+02   0.640655E-01  -0.778849E+02
   694   0.172371E+04   0.359432E+02   0.641133E-01  -0.793727E+02
   695   0.172697E+04   0.359138E+02   0.641618E-01  -0.808474E+02
   696   0.173037E+04   0.358774E+02   0.642112E-01  -0.823238E+02
   697   0.173392E+04   0.358356E+02   0.642613E-01  -0.837724E+02
   698   0.173760E+04   0.357875E+02   0.643123E-01  -0.852080E+02
   699   0.174143E+04   0.357348E+02   0.643641E-01  -0.866233E+02
   700   0.174547E+04   0.356758E+02   0.644168E-01  -0.880257E+02
   701   0.174965E+04   0.356114E+02   0.644703E-01  -0.894154E+02
   702   0.175397E+04   0.355423E+02   0.645246E-01  -0.907775E+02
   703   0.175843E+04   0.354669E+02   0.645798E-01  -0.921417E+02
   704   0.176303E+04   0.353868E+02   0.646359E-01  -0.934709E+02
   705   0.176770E+04   0.353005E+02   0.646928E-01  -0.947801E+02
   706   0.177259E+04   0.352094E+02   0.647507E-01  -0.960767E+02
   707   0.177754E+04   0.351128E+02   0.648094E-01  -0.973532E+02
   708   0.178278E+04   0.350115E+02   0.648690E-01  -0.985948E+02
   709   0.178802E+04   0.349047E+02   0.649296E-01  -0.998314E+02
   710   0.179348E+04   0.347923E+02   0.649910E-01  -0.101041E+03
   711   0.179900E+04   0.346752E+02   0.650533E-01  -0.102222E+03
   712   0.180467E+04   0.345533E+02   0.651165E-01  -0.103392E+03
   713   0.181055E+04   0.344259E+02   0.651806E-01  -0.104527E+03
   714   0.181636E+04   0.342944E+02   0.652457E-01  -0.105641E+03
   715   0.182238E+04   0.341574E+02   0.653116E-01  -0.106736E+03
   716   0.182855E+04   0.340155E+02   0.653785E-01  -0.107804E+03
   717   0.183478E+04   0.338696E+02   0.654462E-01  -0.108838E+03
   718   0.184109E+04   0.337189E+02   0.655148E-01  -0.109859E+03
   719   0.184755E+04   0.335618E+02   0.655844E-01  -0.110838E+03
   720   0.185400E+04   0.334014E+02   0.656548E-01  -0.111805E+03
   721   0.186074E+04   0.332377E+02   0.657261E-01  -0.112729E+03
   722   0.186741E+04   0.330683E+02   0.657983E-01  -0.113627E+03
   723   0.187422E+04   0.328956E+02   0.658714E-01  -0.114506E+03
   724   0.188111E+04   0.327180E+02   0.659453E-01  -0.115357E+03
   725   0.188807E+04   0.325370E+02   0.660201E-01  -0.116174E+03
   726   0.189518E+04   0.323533E+02   0.660958E-01  -0.116957E+03
   727   0.190228E+04   0.321640E+02   0.661723E-01  -0.117720E+03
   728   0.190946E+04   0.319698E+02   0.662496E-01  -0.118448E+03
   729   0.191671E+04   0.317729E+02   0.663278E-01  -0.119150E+03
   730   0.192397E+04   0.315726E+02   0.664069E-01  -0.119818E+03
   731   0.193144E+04   0.313674E+02   0.664867E-01  -0.120452E+03
   732   0.193884E+04   0.311609E+02   0.665673E-01  -0.121051E+03
   733   0.194640E+04   0.309495E+02   0.666488E-01  -0.121631E+03
   734   0.195395E+04   0.307354E+02   0.667310E-01  -0.122162E+03
   735   0.196158E+04   0.305170E+02   0.668141E-01  -0.122681E+03
   736   0.196914E+04   0.302959E+02   0.668979E-01  -0.123151E+03
   737   0.197685E+04   0.300727E+02   0.669824E-01  -0.123602E+03
   738   0.198449E+04   0.298468E+02   0.670677E-01  -0.124004E+03
   739   0.199220E+04   0.296174E+02   0.671538E-01  -0.124379E+03
   740   0.199992E+04   0.293852E+02   0.672406E-01  -0.124728E+03
   741   0.200772E+04   0.291494E+02   0.673281E-01  -0.125042E+03
   742   0.201552E+04   0.289138E+02   0.674163E-01  -0.125316E+03
   743   0.202332E+04   0.286761E+02   0.675052E-01  -0.125562E+03
   744   0.203121E+04   0.284349E+02   0.675948E-01  -0.125768E+03
   745   0.203902E+04   0.281915E+02   0.676850E-01  -0.125954E+03
   746   0.204677E+04   0.279468E+02   0.677760E-01  -0.126084E+03
   747   0.205452E+04   0.276992E+02   0.678675E-01  -0.126195E+03
   748   0.206236E+04   0.274510E+02   0.679597E-01  -0.126272E+03
   749   0.207020E+04   0.271991E+02   0.680525E-01  -0.126322E+03
   750   0.207798E+04   0.269473E+02   0.681460E-01  -0.126331E+03
   751   0.208576E+04   0.266933E+02   0.682400E-01  -0.126307E+03
   752   0.209355E+04   0.264394E+02   0.683346E-01  -0.126241E+03
   753   0.210127E+04   0.261825E+02   0.684298E-01  -0.126148E+03
   754   0.210893E+04   0.259257E+02   0.685255E-01  -0.126014E+03
   755   0.211667E+04   0.256674E+02   0.686217E-01  -0.125854E+03
   756   0.212420E+04   0.254084E+02   0.687185E-01  -0.125660E+03
   757   0.213188E+04   0.251494E+02   0.688157E-01  -0.125424E+03
   758   0.213935E+04   0.248889E+02   0.689135E-01  -0.125154E+03
   759   0.214691E+04   0.246276E+02   0.690117E-01  -0.124857E+03
   760   0.215432E+04   0.243663E+02   0.691104E-01  -0.124527E+03
   761   0.216167E+04   0.241049E+02   0.692095E-01  -0.124162E+03
   762   0.216911E+04   0.238435E+02   0.693090E-01  -0.123764E+03
   763   0.217633E+04   0.235828E+02   0.694089E-01  -0.123331E+03
   764   0.218356E+04   0.233213E+02   0.695092E-01  -0.122871E+03
   765   0.219066E+04   0.230596E+02   0.696099E-01  -0.122370E+03
   766   0.219776E+04   0.227994E+02   0.697109E-01  -0.121842E+03
   767   0.220473E+04   0.225398E+02   0.698122E-01  -0.121279E+03
   768   0.221164E+04   0.222801E+02   0.699139E-01  -0.120675E+03
   769   0.221848E+04   0.220202E+02   0.700157E-01  -0.120052E+03
   770   0.222519E+04   0.217625E+02   0.701179E-01  -0.119394E+03
   771   0.223183E+04   0.215053E+02   0.702203E-01  -0.118701E+03
   772   0.223834E+04   0.212494E+02   0.703229E-01  -0.117967E+03
   773   0.224479E+04   0.209949E+02   0.704257E-01  -0.117213E+03
   774   0.225110E+04   0.207417E+02   0.705286E-01  -0.116433E+03
   775   0.225742E+04   0.204897E+02   0.706317E-01  -0.115617E+03
   776   0.226346E+04   0.202398E+02   0.707349E-01  -0.114774E+03
   777   0.226944E+04   0.199911E+02   0.708382E-01  -0.113897E+03
   778   0.227551E+04   0.197445E+02   0.709416E-01  -0.112985E+03
   779   0.228122E+04   0.194998E+02   0.710450E-01  -0.112053E+03
   780   0.228687E+04   0.192556E+02   0.711485E-01  -0.111087E+03
