#    L    TT             EE             TE             PP             TP          
    75   0.193752E+04   0.375924E+00  -0.801882E+01   0.502561E+07   0.917746E+04
    76   0.196275E+04   0.389323E+00  -0.851050E+01   0.499575E+07   0.904711E+04
    77   0.198830E+04   0.402886E+00  -0.901264E+01   0.496583E+07   0.891908E+04
    78   0.201422E+04   0.416638E+00  -0.952662E+01   0.493587E+07   0.879279E+04
    79   0.204031E+04   0.430525E+00  -0.100486E+02   0.490589E+07   0.866767E+04
    80   0.206668E+04   0.444550E+00  -0.105801E+02   0.487590E+07   0.854316E+04
    81   0.209323E+04   0.458663E+00  -0.111214E+02   0.484594E+07   0.841889E+04
    82   0.212002E+04   0.472886E+00  -0.116716E+02   0.481601E+07   0.829539E+04
    83   0.214700E+04   0.487193E+00  -0.122302E+02   0.478612E+07   0.817340E+04
    84   0.217425E+04   0.501582E+00  -0.127953E+02   0.475630E+07   0.805364E+04
    85   0.220161E+04   0.516028E+00  -0.133679E+02   0.472654E+07   0.793685E+04
    86   0.222917E+04   0.530542E+00  -0.139469E+02   0.469687E+07   0.782361E+04
    87   0.225716E+04   0.545095E+00  -0.145316E+02   0.466729E+07   0.771383E+04
    88   0.228512E+04   0.559701E+00  -0.151220E+02   0.463781E+07   0.760724E+04
    89   0.231344E+04   0.574347E+00  -0.157199E+02   0.460843E+07   0.750360E+04
    90   0.234197E+04   0.588994E+00  -0.163223E+02   0.457917E+07   0.740265E+04
    91   0.237062E+04   0.603635E+00  -0.169300E+02   0.455003E+07   0.730416E+04
    92   0.239956E+04   0.618257E+00  -0.175424E+02   0.452101E+07   0.720802E+04
    93   0.242879E+04   0.632853E+00  -0.181595E+02   0.449212E+07   0.711416E+04
    94   0.245807E+04   0.647386E+00  -0.187798E+02   0.446336E+07   0.702251E+04
    95   0.248764E+04   0.661857E+00  -0.194042E+02   0.443473E+07   0.693298E+04
    96   0.251720E+04   0.676251E+00  -0.200319E+02   0.440624E+07   0.684550E+04
    97   0.254719E+04   0.690556E+00  -0.206622E+02   0.437789E+07   0.675999E+04
    98   0.257739E+04   0.704763E+00  -0.212929E+02   0.434968E+07   0.667638E+04
    99   0.260766E+04   0.718837E+00  -0.219270E+02   0.432161E+07   0.659458E+04
   100   0.263822E+04   0.732779E+00  -0.225601E+02   0.429369E+07   0.651452E+04
   101   0.266892E+04   0.746647E+00  -0.231952E+02   0.426593E+07   0.643613E+04
   102   0.270013E+04   0.760296E+00  -0.238301E+02   0.423832E+07   0.635933E+04
   103   0.273127E+04   0.773799E+00  -0.244656E+02   0.421086E+07   0.628403E+04
   104   0.276262E+04   0.787158E+00  -0.250987E+02   0.418357E+07   0.621017E+04
   105   0.279411E+04   0.800299E+00  -0.257310E+02   0.415644E+07   0.613767E+04
   106   0.282582E+04   0.813297E+00  -0.263617E+02   0.412948E+07   0.606645E+04
   107   0.285746E+04   0.826003E+00  -0.269894E+02   0.410269E+07   0.599643E+04
   108   0.288946E+04   0.838494E+00  -0.276149E+02   0.407607E+07   0.592754E+04
   109   0.292162E+04   0.850696E+00  -0.282368E+02   0.404963E+07   0.585969E+04
   110   0.295384E+04   0.862609E+00  -0.288535E+02   0.402336E+07   0.579282E+04
   111   0.298622E+04   0.874308E+00  -0.294666E+02   0.399728E+07   0.572686E+04
   112   0.301874E+04   0.885719E+00  -0.300753E+02   0.397138E+07   0.566179E+04
   113   0.305149E+04   0.896843E+00  -0.306782E+02   0.394566E+07   0.559762E+04
   114   0.308430E+04   0.907606E+00  -0.312744E+02   0.392013E+07   0.553435E+04
   115   0.311734E+04   0.918157E+00  -0.318639E+02   0.389478E+07   0.547198E+04
   116   0.315037E+04   0.928273E+00  -0.324461E+02   0.386961E+07   0.541050E+04
   117   0.318369E+04   0.938028E+00  -0.330201E+02   0.384463E+07   0.534991E+04
   118   0.321715E+04   0.947572E+00  -0.335866E+02   0.381982E+07   0.529023E+04
   119   0.325061E+04   0.956757E+00  -0.341435E+02   0.379520E+07   0.523144E+04
   120   0.328420E+04   0.965434E+00  -0.346907E+02   0.377077E+07   0.517354E+04
   121   0.331779E+04   0.973900E+00  -0.352281E+02   0.374651E+07   0.511655E+04
   122   0.335143E+04   0.981859E+00  -0.357550E+02   0.372244E+07   0.506045E+04
   123   0.338515E+04   0.989385E+00  -0.362714E+02   0.369856E+07   0.500525E+04
   124   0.341892E+04   0.996554E+00  -0.367744E+02   0.367485E+07   0.495095E+04
   125   0.345268E+04   0.100329E+01  -0.372661E+02   0.365133E+07   0.489754E+04
   126   0.348649E+04   0.100967E+01  -0.377457E+02   0.362800E+07   0.484503E+04
   127   0.352030E+04   0.101554E+01  -0.382125E+02   0.360484E+07   0.479342E+04
   128   0.355408E+04   0.102106E+01  -0.386657E+02   0.358188E+07   0.474271E+04
   129   0.358792E+04   0.102607E+01  -0.391047E+02   0.355909E+07   0.469289E+04
   130   0.362174E+04   0.103058E+01  -0.395285E+02   0.353649E+07   0.464398E+04
   131   0.365554E+04   0.103473E+01  -0.399388E+02   0.351407E+07   0.459596E+04
   132   0.368940E+04   0.103838E+01  -0.403325E+02   0.349184E+07   0.454880E+04
   133   0.372317E+04   0.104160E+01  -0.407119E+02   0.346979E+07   0.450250E+04
   134   0.375692E+04   0.104439E+01  -0.410726E+02   0.344791E+07   0.445700E+04
   135   0.379065E+04   0.104667E+01  -0.414176E+02   0.342622E+07   0.441230E+04
   136   0.382422E+04   0.104845E+01  -0.417433E+02   0.340470E+07   0.436836E+04
   137   0.385778E+04   0.104981E+01  -0.420518E+02   0.338337E+07   0.432515E+04
   138   0.389125E+04   0.105066E+01  -0.423418E+02   0.336220E+07   0.428264E+04
   139   0.392449E+04   0.105116E+01  -0.426126E+02   0.334122E+07   0.424082E+04
   140   0.395780E+04   0.105109E+01  -0.428648E+02   0.332040E+07   0.419964E+04
   141   0.399087E+04   0.105051E+01  -0.430964E+02   0.329976E+07   0.415909E+04
   142   0.402394E+04   0.104951E+01  -0.433082E+02   0.327929E+07   0.411914E+04
   143   0.405693E+04   0.104808E+01  -0.435000E+02   0.325899E+07   0.407975E+04
   144   0.408969E+04   0.104615E+01  -0.436713E+02   0.323885E+07   0.404090E+04
   145   0.412231E+04   0.104387E+01  -0.438214E+02   0.321889E+07   0.400257E+04
   146   0.415499E+04   0.104102E+01  -0.439502E+02   0.319909E+07   0.396473E+04
   147   0.418730E+04   0.103781E+01  -0.440563E+02   0.317946E+07   0.392734E+04
   148   0.421947E+04   0.103411E+01  -0.441413E+02   0.315999E+07   0.389039E+04
   149   0.425156E+04   0.102998E+01  -0.442037E+02   0.314068E+07   0.385383E+04
   150   0.428336E+04   0.102550E+01  -0.442413E+02   0.312153E+07   0.381766E+04
   151   0.431502E+04   0.102060E+01  -0.442572E+02   0.310255E+07   0.378184E+04
   152   0.434638E+04   0.101520E+01  -0.442497E+02   0.308372E+07   0.374637E+04
   153   0.437760E+04   0.100945E+01  -0.442168E+02   0.306506E+07   0.371125E+04
   154   0.440860E+04   0.100336E+01  -0.441606E+02   0.304655E+07   0.367648E+04
   155   0.443938E+04   0.996906E+00  -0.440803E+02   0.302819E+07   0.364206E+04
   156   0.446978E+04   0.990106E+00  -0.439760E+02   0.300999E+07   0.360801E+04
